location_name,sex_name,measure_name,age_name,age_midpoint,period,period_midpoint,cohort_midpoint,events,population,rate,window,age_coverage,age_index,period_index,cohort_index,cohort_level,fitted_rate
China,Female,Incidence,15-19 years,17.0,2009-2013,2011.0,1994.0,59475.07208423321,226612677.11389786,26.245253726180742,primary_1994_2023,10-14 to 65-69,1,3,2,13,26.460957430069577
China,Female,Incidence,15-19 years,17.0,2014-2018,2016.0,1999.0,46089.289664673546,176021283.67355502,26.183929978689207,primary_1994_2023,10-14 to 65-69,1,4,3,14,26.19320214588643
China,Female,Incidence,15-19 years,17.0,2019-2023,2021.0,2004.0,46367.891329630016,175295140.0224603,26.451327357785825,primary_1994_2023,10-14 to 65-69,1,5,4,15,26.292101286525273
China,Female,Incidence,20-24 years,22.0,1994-1998,1996.0,1974.0,116755.96098423001,277180223.35041225,42.12276026512422,primary_1994_2023,10-14 to 65-69,2,0,-2,9,42.255782285384235
China,Female,Incidence,20-24 years,22.0,1999-2003,2001.0,1979.0,98989.86368156895,233265107.91878718,42.436635536607106,primary_1994_2023,10-14 to 65-69,2,1,-1,10,42.54619423960739
China,Female,Incidence,20-24 years,22.0,2004-2008,2006.0,1984.0,114257.92088091592,269616535.52198684,42.37793526265319,primary_1994_2023,10-14 to 65-69,2,2,0,11,42.68252955423677
China,Female,Incidence,20-24 years,22.0,2009-2013,2011.0,1989.0,128967.5477289497,304524092.73245245,42.35052358969098,primary_1994_2023,10-14 to 65-69,2,3,1,12,42.395758297417196
China,Female,Incidence,20-24 years,22.0,2014-2018,2016.0,1994.0,93300.26386873132,222435645.53801268,41.94483471525564,primary_1994_2023,10-14 to 65-69,2,4,2,13,41.70179611262581
China,Female,Incidence,20-24 years,22.0,2019-2023,2021.0,1999.0,72841.15495805195,173010032.04828298,42.102272391767265,primary_1994_2023,10-14 to 65-69,2,5,3,14,41.51294015252499
China,Female,Incidence,25-29 years,27.0,1994-1998,1996.0,1969.0,103469.72889152839,308978730.38093084,33.487654235605014,primary_1994_2023,10-14 to 65-69,3,0,-3,8,33.90252698455825
China,Female,Incidence,25-29 years,27.0,1999-2003,2001.0,1974.0,93853.3673937015,276039084.94366837,34.000028442658504,primary_1994_2023,10-14 to 65-69,3,1,-2,9,34.10928627364829
China,Female,Incidence,25-29 years,27.0,2004-2008,2006.0,1979.0,80777.34150870588,235561075.7121193,34.29146401395466,primary_1994_2023,10-14 to 65-69,3,2,-1,10,34.28592310447387
China,Female,Incidence,25-29 years,27.0,2009-2013,2011.0,1984.0,93293.4982013773,270985531.92668825,34.427483097738474,primary_1994_2023,10-14 to 65-69,3,3,0,11,34.36774378510255
China,Female,Incidence,25-29 years,27.0,2014-2018,2016.0,1989.0,101716.31266296627,295092497.31285363,34.469298131672865,primary_1994_2023,10-14 to 65-69,3,4,1,12,34.16961342434826
China,Female,Incidence,25-29 years,27.0,2019-2023,2021.0,1994.0,70854.65475985421,208017806.1240198,34.061821956535205,primary_1994_2023,10-14 to 65-69,3,5,2,13,33.800109775605804
China,Female,Incidence,30-34 years,32.0,1994-1998,1996.0,1964.0,75342.65952229485,285587416.1163933,26.38164543342077,primary_1994_2023,10-14 to 65-69,4,0,-4,7,26.619826487097892
China,Female,Incidence,30-34 years,32.0,1999-2003,2001.0,1969.0,82630.21912087438,308153140.08709496,26.814660755207672,primary_1994_2023,10-14 to 65-69,4,1,-3,8,26.69268367273355
China,Female,Incidence,30-34 years,32.0,2004-2008,2006.0,1974.0,75451.72026233995,279146855.10048306,27.029400075161146,primary_1994_2023,10-14 to 65-69,4,2,-2,9,26.81028582488103
China,Female,Incidence,30-34 years,32.0,2009-2013,2011.0,1979.0,64065.46601131781,237854241.40281895,26.934758713349787,primary_1994_2023,10-14 to 65-69,4,3,-1,10,26.92715081441512
China,Female,Incidence,30-34 years,32.0,2014-2018,2016.0,1984.0,72695.5194821488,267743419.97628292,27.151188062283012,primary_1994_2023,10-14 to 65-69,4,4,0,11,27.017326029234653
China,Female,Incidence,30-34 years,32.0,2019-2023,2021.0,1989.0,76632.14497329942,286173265.9956433,26.77823335687341,primary_1994_2023,10-14 to 65-69,4,5,1,12,27.013266262994446
China,Female,Incidence,35-39 years,37.0,1994-1998,1996.0,1959.0,48400.05554659444,210141763.53976008,23.032097347673044,primary_1994_2023,10-14 to 65-69,5,0,-5,6,23.00640078734153
China,Female,Incidence,35-39 years,37.0,1999-2003,2001.0,1964.0,65044.59550824996,282204424.2525181,23.048751159920755,primary_1994_2023,10-14 to 65-69,5,1,-4,7,23.017772857745246
China,Female,Incidence,35-39 years,37.0,2004-2008,2006.0,1969.0,71045.97352963462,307166596.4732847,23.12945950026624,primary_1994_2023,10-14 to 65-69,5,2,-3,8,23.041935789848587
China,Female,Incidence,35-39 years,37.0,2009-2013,2011.0,1974.0,64206.35901198581,277394763.72455376,23.146204401947962,primary_1994_2023,10-14 to 65-69,5,3,-2,9,23.124583016721566
China,Female,Incidence,35-39 years,37.0,2014-2018,2016.0,1979.0,54219.00170854112,232173910.55011278,23.352753795667496,primary_1994_2023,10-14 to 65-69,5,4,-1,10,23.247681908243933
China,Female,Incidence,35-39 years,37.0,2019-2023,2021.0,1984.0,59942.24699420977,258604707.3790096,23.17910126297846,primary_1994_2023,10-14 to 65-69,5,5,0,11,23.457261413524016
China,Female,Incidence,40-44 years,42.0,1994-1998,1996.0,1954.0,47043.39190987645,216168736.6214835,21.762347620253028,primary_1994_2023,10-14 to 65-69,6,0,-6,5,21.65449839296768
China,Female,Incidence,40-44 years,42.0,1999-2003,2001.0,1959.0,43680.4226537866,202613906.72692266,21.558452408036256,primary_1994_2023,10-14 to 65-69,6,1,-5,6,21.63142759897169
China,Female,Incidence,40-44 years,42.0,2004-2008,2006.0,1964.0,60047.232569794505,277698221.1149844,21.623196694850705,primary_1994_2023,10-14 to 65-69,6,2,-4,7,21.605705082429427
China,Female,Incidence,40-44 years,42.0,2009-2013,2011.0,1969.0,65856.40780942769,303571794.3771086,21.69384937245465,primary_1994_2023,10-14 to 65-69,6,3,-3,8,21.610750513793374
China,Female,Incidence,40-44 years,42.0,2014-2018,2016.0,1974.0,59197.720502143406,272048942.68718094,21.75995242525632,primary_1994_2023,10-14 to 65-69,6,4,-2,9,21.70908822029337
China,Female,Incidence,40-44 years,42.0,2019-2023,2021.0,1979.0,49082.73677753347,226035787.20401463,21.714586608019083,primary_1994_2023,10-14 to 65-69,6,5,-1,10,21.94790239336507
