location_name,sex_name,measure_name,start_year,end_year,adult_count_start_reconstructed,adult_count_end_reconstructed,population_source,population_growth,population_aging,rate_change,total_change,component_sum,closure_error,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total
United States of America,Female,Incidence,2000,2023,31959.566491471945,35354.910691132776,derived_proxy_NOT_OFFICIAL,7109.052338606123,-2354.0413861329203,-1359.6667528123678,3395.3441996608344,3395.3441996608353,9.094947017729282e-13,209.37648499130827,-69.33145058954756,-40.04503440176071
United States of America,Female,Incidence,2010,2023,35543.09823158268,35354.910691132776,derived_proxy_NOT_OFFICIAL,3533.1821014084358,-2230.7911576505003,-1490.578484207836,-188.18754044990055,-188.18754044990055,0.0,-1877.47929164792,1185.4085304039475,792.0707612439726
United States of America,Female,Prevalence,1990,2023,624851.7298002987,766467.9634766163,derived_proxy_NOT_OFFICIAL,215130.11649674672,-24241.668315626954,-49272.21450480206,141616.23367631773,141616.23367631773,0.0,151.91063263866664,-17.11785978649484,-34.7927728521718
United States of America,Female,Prevalence,2000,2023,679357.821445144,766467.9634766163,derived_proxy_NOT_OFFICIAL,152502.48623651138,-24138.803369658595,-41253.540835380496,87110.1420314723,87110.1420314723,0.0,175.0685771829109,-27.710669282271876,-47.357907900639034
United States of America,Female,Prevalence,2010,2023,748404.9438932335,766467.9634766163,derived_proxy_NOT_OFFICIAL,75457.28454180833,-18182.924061432986,-39211.3408969927,18063.019583382644,18063.019583382644,0.0,417.7445758361821,-100.66381192522567,-217.0807639109564
United States of America,Female,DALYs,1990,2023,385611.41380111314,464662.24130695383,derived_proxy_NOT_OFFICIAL,131647.50548356486,-18657.914685436477,-33938.76329228763,79050.82750584075,79050.82750584075,0.0,166.53526552120908,-23.602428050557624,-42.93283747065144
United States of America,Female,DALYs,2000,2023,419365.43435965956,464662.24130695383,derived_proxy_NOT_OFFICIAL,93339.4992552089,-17769.806564892682,-30272.885743022063,45296.80694729416,45296.80694729414,-1.4551915228366852e-11,206.06198437743217,-39.229711236752365,-66.83227314067982
United States of America,Female,DALYs,2010,2023,462076.5506884189,464662.24130695383,derived_proxy_NOT_OFFICIAL,46181.87303725695,-13070.872749490305,-30525.309669231843,2585.6906185348053,2585.690618534798,-7.275957614183426e-12,1786.0556365953073,-505.5079929437568,-1180.5476436515505
United States of America,Male,Incidence,1990,2023,35054.94300939064,41469.60122492191,derived_proxy_NOT_OFFICIAL,13513.772394813857,-6004.215038771558,-1094.899140511027,6414.658215531272,6414.658215531272,0.0,210.6701860138721,-93.60148018851665,-17.068705825355433
United States of America,Male,Incidence,2000,2023,36645.240826595145,41469.60122492191,derived_proxy_NOT_OFFICIAL,9319.396177240318,-3568.1024378912157,-926.9333410223486,4824.360398326753,4824.360398326754,9.094947017729282e-13,193.17371439481576,-73.96011374126923,-19.21360065354652
