location_name,sex_name,age_name,measure_name,year,rate,population,population_source,reported_count,reconstructed_count,absolute_error,relative_error_pct
China,Female,55-59 years,DALYs,1990,310.9204970539658,20700566.22271888,official_GBD_2023,64362.30339266289,64362.303392662885,-7.275957614183426e-12,-1.1304688040442106e-14
China,Female,55-59 years,DALYs,1991,311.7130839502988,21193797.354772616,official_GBD_2023,66063.83934073862,66063.83934073857,-4.3655745685100555e-11,-6.60811513844004e-14
China,Female,55-59 years,DALYs,1992,312.79760628374606,21548684.258013025,official_GBD_2023,67403.76854470708,67403.76854470714,5.820766091346741e-11,8.635668623611135e-14
China,Female,55-59 years,DALYs,1993,313.35739749907674,21671278.948601022,official_GBD_2023,67908.55571810147,67908.55571810144,-2.9103830456733704e-11,-4.285738394665326e-14
China,Female,55-59 years,DALYs,1994,314.4762160047432,21494746.92362282,official_GBD_2023,67595.86676520499,67595.86676520499,0.0,0.0
China,Female,55-59 years,DALYs,1995,314.6290669092224,21437802.95821004,official_GBD_2023,67449.5594132539,67449.55941325393,2.9103830456733704e-11,4.314902974891008e-14
China,Female,55-59 years,DALYs,1996,313.7523039909381,21373741.320772663,official_GBD_2023,67060.60584298741,67060.6058429874,-1.4551915228366852e-11,-2.1699647722297695e-14
China,Female,55-59 years,DALYs,1997,313.6251701506632,21409108.751390457,official_GBD_2023,67144.3537492889,67144.35374928886,-4.3655745685100555e-11,-6.50177464632503e-14
China,Female,55-59 years,DALYs,1998,312.64841115399656,21614851.116370272,official_GBD_2023,67578.48858863355,67578.48858863354,-1.4551915228366852e-11,-2.1533354078023032e-14
China,Female,55-59 years,DALYs,1999,312.3374519862024,22019778.624288533,official_GBD_2023,68776.01548810533,68776.01548810524,-8.731149137020111e-11,-1.2695049393389394e-13
China,Female,55-59 years,DALYs,2000,312.00597060198044,22487074.511615835,official_GBD_2023,70161.01508995751,70161.01508995754,2.9103830456733704e-11,4.148148429639736e-14
China,Female,55-59 years,DALYs,2001,313.1152453240365,23442426.386920266,official_GBD_2023,73401.81089131208,73401.81089131205,-2.9103830456733704e-11,-3.965001694553351e-14
China,Female,55-59 years,DALYs,2002,313.25744437531915,24694264.28697379,official_GBD_2023,77356.62121266116,77356.62121266122,5.820766091346741e-11,7.52458677757508e-14
China,Female,55-59 years,DALYs,2003,314.5799912659361,25693940.61814988,official_GBD_2023,80827.9961524506,80827.9961524507,8.731149137020111e-11,1.0802134845149681e-13
China,Female,55-59 years,DALYs,2004,316.06975915007257,28156750.70782056,official_GBD_2023,88994.97414669492,88994.97414669479,-1.3096723705530167e-10,-1.4716250924397342e-13
China,Female,55-59 years,DALYs,2005,316.3071658547974,29678727.87579011,official_GBD_2023,93875.94300566951,93875.94300566943,-8.731149137020111e-11,-9.300731217680344e-14
China,Female,55-59 years,DALYs,2006,317.18010707920894,31700028.626181006,official_GBD_2023,100546.18474066078,100546.1847406608,1.4551915228366852e-11,1.44728666392471e-14
China,Female,55-59 years,DALYs,2007,316.7640885251164,33637946.170937374,official_GBD_2023,106552.93358693917,106552.93358693906,-1.0186340659856796e-10,-9.559887576014517e-14
China,Female,55-59 years,DALYs,2008,317.7078821892497,36324608.115979925,official_GBD_2023,115406.1431588242,115406.14315882414,-5.820766091346741e-11,-5.043722918056527e-14
China,Female,55-59 years,DALYs,2009,316.8154198818309,37960209.12196331,official_GBD_2023,120263.7959177692,120263.79591776912,-7.275957614183426e-11,-6.049998304692119e-14
China,Female,55-59 years,DALYs,2010,316.85488255372,40474611.58058079,official_GBD_2023,128245.78298772374,128245.78298772364,-1.0186340659856796e-10,-7.942826986234611e-14
China,Female,55-59 years,DALYs,2011,317.7408261174638,41738180.09423093,official_GBD_2023,132619.2382378042,132619.23823780418,-2.9103830456733704e-11,-2.1945406144277956e-14
China,Female,55-59 years,DALYs,2012,317.7630125089061,42107558.03878608,official_GBD_2023,133802.24491798287,133802.24491798272,-1.4551915228366852e-10,-1.0875688399164588e-13
China,Female,55-59 years,DALYs,2013,317.9049013819776,41157559.02978872,official_GBD_2023,130841.89744487892,130841.89744487904,1.1641532182693481e-10,8.897403973828663e-14
China,Female,55-59 years,DALYs,2014,318.5099023585507,39442292.21427799,official_GBD_2023,125627.60641967112,125627.60641967106,-5.820766091346741e-11,-4.633349513881456e-14
China,Female,55-59 years,DALYs,2015,318.80455513519985,37839899.01571328,official_GBD_2023,120635.32172065368,120635.32172065359,-8.731149137020111e-11,-7.237639036797357e-14
China,Female,55-59 years,DALYs,2016,319.1528421616574,37348187.45030793,official_GBD_2023,119197.8017435213,119197.80174352121,-8.731149137020111e-11,-7.32492462890128e-14
China,Female,55-59 years,DALYs,2017,319.44196714067857,38591486.06778362,official_GBD_2023,123277.40224374887,123277.40224374889,1.4551915228366852e-11,1.1804203336142855e-14
China,Female,55-59 years,DALYs,2018,319.8414878461588,41916046.38763158,official_GBD_2023,134064.90641248695,134064.90641248695,0.0,0.0
China,Female,55-59 years,DALYs,2019,320.4394334723133,46347185.32230164,official_GBD_2023,148514.65807714636,148514.6580771465,1.4551915228366852e-10,9.798302347238895e-14
China,Female,55-59 years,DALYs,2020,320.1527206951098,50957804.47667685,official_GBD_2023,163142.79743857528,163142.7974385754,1.1641532182693481e-10,7.13579291606583e-14
China,Female,55-59 years,DALYs,2021,320.3771416623716,55003987.90919528,official_GBD_2023,176220.2042637962,176220.2042637963,1.1641532182693481e-10,6.606241453032519e-14
China,Female,55-59 years,DALYs,2022,319.5456417327461,57935067.44673485,official_GBD_2023,185128.98306096808,185128.98306096817,8.731149137020111e-11,4.7162518762093036e-14
China,Female,55-59 years,DALYs,2023,319.6415899326998,59332827.45972149,official_GBD_2023,189652.39304427945,189652.39304427925,-2.0372681319713593e-10,-1.074211666549182e-13
China,Female,55-59 years,Incidence,1990,23.7117657077,20700566.22271888,official_GBD_2023,4908.469762899086,4908.469762898384,-7.021299097687006e-10,-1.4304456249802833e-11
China,Female,55-59 years,Incidence,1991,23.89346313001,21193797.354772616,official_GBD_2023,5063.932156812416,5063.93215681163,-7.8580342233181e-10,-1.55176530411191e-11
China,Female,55-59 years,Incidence,1992,24.03771333487,21548684.258013025,official_GBD_2023,5179.810949379249,5179.810949377429,-1.8198988982476294e-09,-3.5134465640405794e-11
China,Female,55-59 years,Incidence,1993,24.140235852590003,21671278.948601022,official_GBD_2023,5231.497850467056,5231.497850464974,-2.0818333723582327e-09,-3.979421251549155e-11
China,Female,55-59 years,Incidence,1994,24.20406609932,21494746.92362282,official_GBD_2023,5202.602753276422,5202.60275327522,-1.2023519957438111e-09,-2.3110586234680533e-11
China,Female,55-59 years,Incidence,1995,24.22533190887,21437802.95821004,official_GBD_2023,5193.378920595944,5193.378920595934,-1.000444171950221e-11,-1.9263839347108903e-13
