location_name,sex_name,measure_name,start_year,end_year,all_age_count_start_reconstructed,all_age_count_end_reconstructed,population_source,age_partition,age_group_count,population_size_change,age_structure_change,age_specific_rate_change,total_change,component_sum,closure_error,population_size_change_pct_of_total,age_structure_change_pct_of_total,age_specific_rate_change_pct_of_total,cumulative_population_size_change,cumulative_age_structure_change,cumulative_age_specific_rate_change,cumulative_total_change,chain_step_years
China,Female,Prevalence,2009,2010,2206091.931570403,2243287.907829255,official_GBD_2023,fine_5_year,20,15455.93166637382,20711.05852323569,1028.9860692420818,37195.97625885159,37195.97625885159,0.0,41.55269795532184,55.680911233797886,2.766390810880283,254780.26214821776,434163.28962432116,9882.569164662738,698826.1209372017,1
China,Female,Prevalence,2010,2011,2243287.907829255,2277540.896472166,official_GBD_2023,fine_5_year,20,13804.897719133878,19700.518067065623,747.5728567114566,34252.98864291096,34252.98864291096,0.0,40.30275390871902,57.514742063661835,2.1825040276191348,268585.15986735164,453863.8076913868,10630.142021374195,733079.1095801126,1
China,Female,Prevalence,2011,2012,2277540.896472166,2309127.2229048535,official_GBD_2023,fine_5_year,20,14150.783881635714,16493.506484463654,942.0360665873934,31586.326432686765,31586.32643268676,-3.637978807091713e-12,44.80034711156512,52.217235580125994,2.982417308308882,282735.94374898734,470357.3141758504,11572.178087961587,764665.4360127994,1
China,Female,Prevalence,2012,2013,2309127.2229048535,2338397.391296876,official_GBD_2023,fine_5_year,20,14998.977346635113,13248.206105365107,1022.9849400228509,29270.16839202307,29270.16839202307,0.0,51.24322192393928,45.26180351246496,3.494974563595755,297734.92109562247,483605.52028121555,12595.163027984438,793935.6044048225,1
China,Female,Prevalence,2013,2014,2338397.391296876,2364402.3073713034,official_GBD_2023,fine_5_year,20,14960.531413305007,10091.855402534751,952.5292585875528,26004.91607442731,26004.91607442731,0.0,57.52962774610482,38.80749075925252,3.6628814946426616,312695.4525089275,493697.3756837503,13547.692286571992,819940.5204792498,1
China,Female,Prevalence,2014,2015,2364402.3073713034,2387152.7627342385,official_GBD_2023,fine_5_year,20,15563.367327321474,6564.885667729813,622.2023678842622,22750.45536293555,22750.455362935547,-3.637978807091713e-12,68.40903656230506,28.856062716112284,2.734900721582646,328258.81983624893,500262.2613514801,14169.894654456253,842690.9758421853,1
China,Female,Prevalence,2015,2016,2387152.7627342385,2405527.419922033,official_GBD_2023,fine_5_year,20,16766.082880849175,1209.7257885673703,398.84851837685954,18374.657187793404,18374.657187793404,0.0,91.24569078756565,6.583664534275021,2.170644678159337,345024.9027170981,501471.9871400475,14568.743172833112,861065.6330299787,1
China,Female,Prevalence,2016,2017,2405527.419922033,2420511.7206743225,official_GBD_2023,fine_5_year,20,16326.741397902448,-1808.328287585561,465.88764197317255,14984.300752290059,14984.300752290059,0.0,108.95898092146358,-12.06815264508885,3.1091717236252796,361351.64411500056,499663.6588524619,15034.630814806285,876049.9337822688,1
China,Female,Prevalence,2017,2018,2420511.7206743225,2433487.2065291023,official_GBD_2023,fine_5_year,20,14435.995351972757,-1943.386899478035,482.87740228464827,12975.48585477937,12975.48585477937,0.0,111.25591375567201,-14.977372880123875,3.7214591244518673,375787.6394669733,497720.27195298387,15517.508217090934,889025.4196370482,1
China,Female,Prevalence,2018,2019,2433487.2065291023,2444345.5119563034,official_GBD_2023,fine_5_year,20,12277.603253084157,-1867.479068097736,448.181242214671,10858.305427201092,10858.305427201092,0.0,113.0710803393648,-17.198623492571155,4.127543153206339,388065.2427200575,495852.79288488615,15965.689459305604,899883.7250642492,1
