location_name,sex_name,measure_name,start_year,end_year,all_age_count_start_reconstructed,all_age_count_end_reconstructed,population_source,age_partition,age_group_count,population_size_change,age_structure_change,age_specific_rate_change,total_change,component_sum,closure_error,population_size_change_pct_of_total,age_structure_change_pct_of_total,age_specific_rate_change_pct_of_total,cumulative_population_size_change,cumulative_age_structure_change,cumulative_age_specific_rate_change,cumulative_total_change,chain_step_years
China,Male,DALYs,1995,2000,1404256.4876994074,1498072.0569437763,official_GBD_2023,fine_5_year,20,22504.69838501544,76171.24660759461,-4860.375748241359,93815.5692443687,93815.5692443687,0.0,23.988234113247984,81.19254322188831,-5.1807773351363045,87378.15228301076,154403.94308434415,7269.397485496361,249051.49285285128,5
China,Male,DALYs,2000,2005,1498072.0569437763,1610300.1468089446,official_GBD_2023,fine_5_year,20,35854.83323173136,71817.7283303723,4555.528303064911,112228.08986516856,112228.08986516857,1.4551915228366852e-11,31.948180954347126,63.992649626893325,4.059169418759552,123232.98551474212,226221.67141471646,11824.925788561271,361279.58271801984,5
China,Male,DALYs,2005,2010,1610300.1468089446,1728844.3927304493,official_GBD_2023,fine_5_year,20,53307.617308431116,64184.87043128504,1051.7581817876005,118544.24592150375,118544.24592150375,0.0,44.96854055972462,54.14423106945758,0.8872283708177969,176540.60282317322,290406.54184600146,12876.683970348871,479823.8286395236,5
China,Male,DALYs,2010,2015,1728844.3927304493,1814144.533410442,official_GBD_2023,fine_5_year,20,54077.53725004585,33007.55712853015,-1784.9536985825594,85300.14067999343,85300.14067999343,0.0,63.396773814148425,38.695782756512905,-2.0925565706613285,230618.14007321908,323414.09897453163,11091.730271766313,565123.969319517,5
China,Male,DALYs,2015,2020,1814144.533410442,1865959.1333842778,official_GBD_2023,fine_5_year,20,59461.23658919835,-17173.304037541384,9526.667422178783,51814.59997383575,51814.59997383575,0.0,114.75768725267365,-33.14375493820892,18.386067685535274,290079.37666241743,306240.79493699025,20618.397693945095,616938.5692933528,5
China,Male,DALYs,2020,2023,1865959.1333842778,1867497.0250253344,official_GBD_2023,fine_5_year,20,7899.784081182481,2325.9903546011,-8687.882794726718,1537.8916410568636,1537.8916410568627,-9.094947017729282e-13,513.6762480712636,151.24539938344697,-564.9216474547105,297979.16074359993,308566.78529159137,11930.514899218379,618476.4609344096,5
China,Male,Incidence,1990,1995,152988.79964753235,160686.02754338225,official_GBD_2023,fine_5_year,20,7677.902940122697,-814.49895737683,833.8239131040414,7697.227895849908,7697.227895849908,0.0,99.74893616261991,-10.581718099005242,10.832781936385329,7677.902940122697,-814.49895737683,833.8239131040414,7697.227895849908,5
China,Male,Incidence,1995,2000,160686.02754338225,162711.82868326033,official_GBD_2023,fine_5_year,20,2507.776616041558,-486.9955576461119,5.020081482662739,2025.801139878109,2025.8011398781089,-2.2737367544323206e-13,123.79184544206788,-24.039652661831063,0.2478072197631794,10185.679556164256,-1301.4945150229419,838.8439945867041,9723.029035728017,5
China,Male,Incidence,2000,2005,162711.82868326033,171356.42328539217,official_GBD_2023,fine_5_year,20,3853.8255247027796,4372.289864242377,418.4792131866804,8644.594602131838,8644.594602131838,0.0,44.58075481934561,50.57831009408041,4.840935086573979,14039.505080867035,3070.795349219435,1257.3232077733846,18367.623637859855,5
China,Male,Incidence,2005,2010,171356.42328539217,180219.72786109534,official_GBD_2023,fine_5_year,20,5614.209002572675,3178.6133526721483,70.48222045825484,8863.304575703078,8863.304575703078,0.0,63.34216492980363,35.862621277685314,0.795213792511061,19653.71408343971,6249.408701891583,1327.8054282316393,27230.928213562933,5
China,Male,Incidence,2010,2015,180219.72786109534,179478.90592090256,official_GBD_2023,fine_5_year,20,5493.280295596633,-5306.225657040501,-927.8765787488809,-740.821940192749,-740.8219401927489,1.1368683772161603e-13,-741.5115559573433,716.2619475956546,125.24960836168857,25146.994379036343,943.1830448510827,399.92884948275844,26490.106273370184,5
China,Male,Incidence,2015,2020,179478.90592090256,176458.55218986873,official_GBD_2023,fine_5_year,20,5752.38177329701,-9256.763812349844,484.02830801903235,-3020.3537310337997,-3020.353731033801,-1.3642420526593924e-12,-190.45390989114702,306.47946024459395,-16.025550353446853,30899.376152333352,-8313.58076749876,883.9571575017908,23469.752542336384,5
China,Male,Incidence,2020,2023,176458.55218986873,174591.61490882759,official_GBD_2023,fine_5_year,20,742.8242650432318,-2003.299673522158,-606.4618725621888,-1866.937281041115,-1866.937281041115,0.0,-39.78838885412309,107.30406928319515,32.48431957092794,31642.200417376585,-10316.88044102092,277.495284939602,21602.81526129527,5
China,Male,Prevalence,1990,1995,1926495.660197918,2160331.847977821,official_GBD_2023,fine_5_year,20,99932.05211830467,122500.49366044824,11403.642001150292,233836.18777990318,233836.18777990318,0.0,42.73592255633464,52.38731217075393,4.8767652729114355,99932.05211830467,122500.49366044824,11403.642001150292,233836.18777990318,5
China,Male,Prevalence,1995,2000,2160331.847977821,2311360.656753655,official_GBD_2023,fine_5_year,20,34672.16364184682,122250.57804323555,-5893.932909248552,151028.8087758338,151028.8087758338,0.0,22.957317827560544,80.94520445081928,-3.902522278379808,134604.21576015148,244751.0717036838,5509.70909190174,384864.996555737,5
China,Male,Prevalence,2000,2005,2311360.656753655,2488668.6031593364,official_GBD_2023,fine_5_year,20,55368.63969713,116764.11770296299,5175.189005588337,177307.94640568132,177307.94640568132,0.0,31.22738761546892,65.85385487224933,2.918757512281758,189972.8554572815,361515.18940664676,10684.898097490077,562172.9429614183,5
China,Male,Prevalence,2005,2010,2488668.6031593364,2685317.686562669,official_GBD_2023,fine_5_year,20,82595.43132034954,106354.00629122305,7699.645791760025,196649.08340333262,196649.08340333262,0.0,42.00143214038992,54.08314366413196,3.9154241954781153,272568.28677763103,467869.1956978698,18384.5438892501,758822.0263647509,5
