location_name,sex_name,measure_name,year,reconstructed_all_age_count,reported_all_age_count,reported_all_age_lower,reported_all_age_upper,absolute_error,relative_error_pct,within_tolerance,tolerance_pct
United States of America,Female,Incidence,1999,32475.70854339285,32475.708543396304,27571.05641309637,38608.53299939037,-3.4524418879300356e-09,-1.063084392236321e-11,True,0.0001
United States of America,Female,Incidence,2000,32698.345746148683,32698.34574615284,27724.759664447807,38899.11860875602,-4.158209776505828e-09,-1.2716881180434232e-11,True,0.0001
United States of America,Female,Incidence,2001,33133.231420396696,33133.23142040086,28169.731818521417,39477.75935580285,-4.16184775531292e-09,-1.2560947353750648e-11,True,0.0001
United States of America,Female,Incidence,2002,33594.32349885111,33594.32349885473,28649.37386858684,40001.94117992481,-3.6161509342491627e-09,-1.0764172507812047e-11,True,0.0001
United States of America,Female,Incidence,2003,34036.50676899732,34036.50676900302,29110.04154067778,40484.378323388366,-5.6970748119056225e-09,-1.6738130180544665e-11,True,0.0001
United States of America,Female,Incidence,2004,34503.76477944763,34503.76477945296,29565.59543531119,41008.61630545591,-5.333276931196451e-09,-1.5457086973803e-11,True,0.0001
United States of America,Female,Incidence,2005,34900.79848133057,34900.798481334525,29949.773541183,41450.207225948965,-3.958120942115784e-09,-1.1341061277531077e-11,True,0.0001
United States of America,Female,Incidence,2006,35266.293506274196,35266.29350627869,30266.87124952949,41966.28422913287,-4.496541805565357e-09,-1.275025345310192e-11,True,0.0001
United States of America,Female,Incidence,2007,35561.16529540296,35561.16529540873,30532.05250357546,42378.479253014295,-5.769834388047457e-09,-1.622509931864464e-11,True,0.0001
United States of America,Female,Incidence,2008,35814.95144180835,35814.95144181412,30769.783856764618,42583.92695768016,-5.769834388047457e-09,-1.6110127630415127e-11,True,0.0001
United States of America,Female,Incidence,2009,36051.56401882221,36051.56401882846,30984.87468416757,42747.081811171854,-6.250047590583563e-09,-1.733641177763989e-11,True,0.0001
United States of America,Female,Incidence,2010,36249.962123236415,36249.96212324095,31095.381594216207,42845.41239232416,-4.532921593636274e-09,-1.2504624358573001e-11,True,0.0001
United States of America,Female,Incidence,2011,36321.73260793735,36321.732607942686,31137.10514884152,42783.69332434324,-5.333276931196451e-09,-1.4683432061911585e-11,True,0.0001
United States of America,Female,Incidence,2012,36194.472299051034,36194.47229905513,30986.18525377438,42496.86647955925,-4.096364136785269e-09,-1.1317651222925016e-11,True,0.0001
United States of America,Female,Incidence,2013,35958.6201067617,35958.6201067673,30756.13043561696,42226.897870859786,-5.602487362921238e-09,-1.5580373624701095e-11,True,0.0001
United States of America,Female,Incidence,2014,35767.06620745882,35767.06620746428,30587.231458100105,42015.362097148114,-5.464244168251753e-09,-1.5277306046173312e-11,True,0.0001
United States of America,Female,Incidence,2015,35703.087094552124,35703.087094556715,30461.64823707697,41799.067443414286,-4.591129254549742e-09,-1.2859194059019351e-11,True,0.0001
United States of America,Female,Incidence,2016,35748.2083804256,35748.2083804323,30469.7998740225,41755.01400421802,-6.693881005048752e-09,-1.8725081083260162e-11,True,0.0001
United States of America,Female,Incidence,2017,35764.08086224515,35764.080862251605,30516.11782985247,41738.00468929028,-6.453774403780699e-09,-1.8045408264895606e-11,True,0.0001
United States of America,Female,Incidence,2018,35753.54784461581,35753.54784462045,30538.503418965043,41710.49338001133,-4.642060957849026e-09,-1.2983497408488593e-11,True,0.0001
United States of America,Female,Incidence,2019,35737.88665795395,35737.88665795939,30521.583938624084,41671.93053213306,-5.435140337795019e-09,-1.5208342871008933e-11,True,0.0001
United States of America,Female,Incidence,2020,35698.504630940304,35698.504630944415,30454.74351232541,41599.94634933358,-4.110916052013636e-09,-1.1515653371234446e-11,True,0.0001
