location_name,sex_name,measure_name,start_year,end_year,all_age_count_start_reconstructed,all_age_count_end_reconstructed,population_source,age_partition,age_group_count,population_size_change,age_structure_change,age_specific_rate_change,total_change,component_sum,closure_error,population_size_change_pct_of_total,age_structure_change_pct_of_total,age_specific_rate_change_pct_of_total
China,Male,Prevalence,1990,2023,1926495.660197918,2925661.008833469,official_GBD_2023,fine_5_year,20,446097.97948562104,537691.5260430856,15375.84310684361,999165.3486355504,999165.3486355502,-1.1641532182693481e-10,44.64706268034692,53.81406859008386,1.538868729569205
China,Male,Prevalence,2000,2023,2311360.656753655,2925661.008833469,official_GBD_2023,fine_5_year,20,318037.08697297075,287372.562181036,8890.702925806632,614300.3520798134,614300.3520798134,0.0,51.7722455955307,46.78046515976909,1.4472892447002053
China,Male,Prevalence,2010,2023,2685317.686562669,2925661.008833469,official_GBD_2023,fine_5_year,20,188049.89972235254,57686.01302132096,-5392.590472874076,240343.32227079943,240343.32227079943,0.0,78.24219867880213,24.00150437977429,-2.2437030585764064
China,Male,DALYs,1990,2023,1249020.5640909253,1867497.0250253344,official_GBD_2023,fine_5_year,20,286716.0315631904,317335.59727057023,14424.832100648939,618476.4609344096,618476.4609344095,-1.1641532182693481e-10,46.35843878844034,51.30924413697681,2.3323170745828454
China,Male,DALYs,2000,2023,1498072.0569437763,1867497.0250253344,official_GBD_2023,fine_5_year,20,204477.1086888279,158623.46948969536,6324.389903035093,369424.96808155836,369424.96808155836,0.0,55.35010525971955,42.93793955331029,1.711955186970159
China,Male,DALYs,2010,2023,1728844.3927304493,1867497.0250253344,official_GBD_2023,fine_5_year,20,120543.10592338144,18400.9279992717,-291.40162776709377,138652.63229488605,138652.63229488605,0.0,86.938923501294,13.271243174191353,-0.21016667548535362
United States of America,Female,Incidence,1990,2023,31876.000537517666,36070.98539056532,official_GBD_2023,fine_5_year,20,8968.531243498519,-2903.3360228069937,-1870.2103676438667,4194.984853047659,4194.984853047658,-9.094947017729282e-13,213.79174318073817,-69.20969024948249,-44.5820529312557
United States of America,Female,Incidence,2000,2023,32698.345746148683,36070.98539056532,official_GBD_2023,fine_5_year,20,5783.5461800914945,-965.3056796389058,-1445.6008560359508,3372.6396444166385,3372.639644416638,-4.547473508864641e-13,171.48426128673665,-28.621666748090234,-42.86259453864644
United States of America,Female,Incidence,2010,2023,36249.96212323641,36070.98539056532,official_GBD_2023,fine_5_year,20,2711.388093581536,-1327.835722602966,-1562.5291036496637,-178.9767326710935,-178.9767326710937,-2.2737367544323206e-13,-1514.938871168393,741.9041027210709,873.0347684473221
United States of America,Female,Prevalence,1990,2023,625835.9820013104,767642.2629328287,official_GBD_2023,fine_5_year,20,183047.98922952366,8052.437661181592,-49294.14595918684,141806.2809315184,141806.2809315184,0.0,129.08313230351328,5.678477432935643,-34.76160973644894
United States of America,Female,Prevalence,2000,2023,680569.6428562739,767642.2629328287,official_GBD_2023,fine_5_year,20,121680.25671043433,8687.506712086906,-43295.143345966644,87072.6200765546,87072.6200765546,0.0,139.74571639563914,9.977311701943522,-49.72302809758266
United States of America,Female,Prevalence,2010,2023,749564.1664284262,767642.2629328287,official_GBD_2023,fine_5_year,20,56873.797996549816,3956.9196224621264,-42752.621114609356,18078.09650440258,18078.096504402587,7.275957614183426e-12,314.600588522687,21.887921781469046,-236.48851030415597
United States of America,Female,DALYs,1990,2023,386308.3580932117,465493.9030577847,official_GBD_2023,fine_5_year,20,112027.18401178112,1112.7585279806226,-33954.39757518863,79185.54496457311,79185.54496457311,0.0,141.4742855680302,1.4052546187292903,-42.87954018675949
United States of America,Female,DALYs,2000,2023,420223.4959767614,465493.9030577847,official_GBD_2023,fine_5_year,20,74486.0507594354,2240.5201359770144,-31456.16381438903,45270.40708102338,45270.40708102338,0.0,164.53585368941543,4.949193701675822,-69.48504739109126
United States of America,Female,DALYs,2010,2023,462897.5219432732,465493.9030577847,official_GBD_2023,fine_5_year,20,34814.821518173434,324.6004487774238,-32543.04085243934,2596.381114511518,2596.381114511519,1.3642420526593924e-12,1340.8979646165496,12.502033964243113,-1253.399998580793
United States of America,Male,Incidence,1990,2023,35897.178491570245,42426.252726558676,official_GBD_2023,fine_5_year,20,11463.270166919561,-3816.9459483536248,-1117.2499835775052,6529.074234988431,6529.074234988431,0.0,175.57267315922735,-58.46075279553607,-17.11192036369127
United States of America,Male,Incidence,2000,2023,37612.7983427586,42426.252726558676,official_GBD_2023,fine_5_year,20,7451.110358442054,-1670.7619329632844,-966.8940416786947,4813.454383800075,4813.454383800075,0.0,154.79756873814247,-34.71024756329505,-20.087321174847435
United States of America,Male,Incidence,2010,2023,41512.01998303068,42426.252726558676,official_GBD_2023,fine_5_year,20,3657.3698307035484,-1589.3449392991859,-1153.7921478763747,914.2327435279876,914.2327435279879,2.2737367544323206e-13,400.04800272082844,-173.84467473413468,-126.20332798669372
United States of America,Male,Prevalence,1990,2023,608106.0929780888,800474.6603648802,official_GBD_2023,fine_5_year,20,204542.53685817355,9379.037183000222,-21553.00665438218,192368.56738679158,192368.5673867916,2.9103830456733704e-11,106.32846084823412,4.875555975910546,-11.204016824144658
United States of America,Male,Prevalence,2000,2023,678749.5609300992,800474.6603648802,official_GBD_2023,fine_5_year,20,137354.50937123754,4643.950546109292,-20273.36048256606,121725.09943478077,121725.09943478077,0.0,112.83992373720004,3.8151133724047437,-16.655037109604784
United States of America,Male,Prevalence,2010,2023,750566.0921671294,800474.6603648802,official_GBD_2023,fine_5_year,20,67541.20044615107,3705.1260023038876,-21337.758250704464,49908.56819775049,49908.56819775049,0.0,135.32986997049403,7.423827483135225,-42.75369745362924
United States of America,Male,DALYs,1990,2023,386160.0774142718,499087.2313822248,official_GBD_2023,fine_5_year,20,128713.37491010889,1060.3478762612795,-16846.568818417116,112927.15396795305,112927.15396795305,0.0,113.97911873935628,0.9389662618808134,-14.918085001237088
United States of America,Male,DALYs,2000,2023,430838.1484896812,499087.2313822248,official_GBD_2023,fine_5_year,20,86425.50465715128,-1070.3050995630524,-17106.116665044527,68249.0828925437,68249.0828925437,0.0,126.63247767479287,-1.5682336731882804,-25.06424400160459
United States of America,Male,DALYs,2010,2023,474160.92636413476,499087.2313822248,official_GBD_2023,fine_5_year,20,42393.90232740412,102.50599616773736,-17570.10330548179,24926.30501809006,24926.305018090065,3.637978807091713e-12,170.07696205529496,0.4112362265219192,-70.48819828181686
