window,location_name,sex_name,age_lower,period_start,events,population
1994_2023,China,Male,25,2019,99958.95323369595,231200621.01524952
1994_2023,China,Male,30,1994,99837.21017175002,302902148.77291167
1994_2023,China,Male,30,1999,109262.69847155128,325868243.42850655
1994_2023,China,Male,30,2004,97151.53605804585,289965799.7368609
1994_2023,China,Male,30,2009,83017.43137153555,246575671.9965888
1994_2023,China,Male,30,2014,93576.30186453929,276649224.6501563
1994_2023,China,Male,30,2019,103260.13590191018,306866871.6087413
1994_2023,China,Male,35,1994,61591.2052956502,227769928.99328655
1994_2023,China,Male,35,1999,81247.6033105134,296902410.5068509
1994_2023,China,Male,35,2004,88209.33913428377,323323398.7456673
1994_2023,China,Male,35,2009,80006.52022354523,289469996.41620743
1994_2023,China,Male,35,2014,67791.13245738833,243905524.59657583
1994_2023,China,Male,35,2019,75209.18559227596,273162618.4899805
1994_2023,China,Male,40,1994,58221.86816150472,231879214.12065443
1994_2023,China,Male,40,1999,54875.31672500141,217750667.06086206
1994_2023,China,Male,40,2004,72863.80818497093,289194745.5288997
1994_2023,China,Male,40,2009,80944.41090983959,316862251.1606348
1994_2023,China,Male,40,2014,72426.65070007612,282947069.33092916
1994_2023,China,Male,40,2019,60170.97920045643,237446260.7768559
1994_2023,China,Male,45,1994,49381.61324728491,182257794.7036712
1994_2023,China,Male,45,1999,60522.494008811365,223285870.12614468
1994_2023,China,Male,45,2004,57638.480336847824,212599269.6463115
1994_2023,China,Male,45,2009,77875.87411799384,285000338.76509637
1994_2023,China,Male,45,2014,84762.5697836843,312027150.49793917
1994_2023,China,Male,45,2019,75779.00741242789,278788688.2874922
1994_2023,China,Male,50,1994,39286.02277391883,135653693.4606568
1994_2023,China,Male,50,1999,50750.32028017409,174971754.72018176
1994_2023,China,Male,50,2004,63268.11653685313,217359476.57708672
1994_2023,China,Male,50,2009,60475.19223111696,208242452.78746703
1994_2023,China,Male,50,2014,80209.42870121519,278909731.1681947
1994_2023,China,Male,50,2019,88326.71473621897,304859538.84563076
