location_name,sex_name,measure_name,year,val,lower,upper,fitted,joinpoint_years
China,Male,DALYs,2012,209.17251646314088,154.06326819764286,261.2621274706512,209.24261980317766,"1995,1999"
China,Male,DALYs,2013,209.14809416421872,153.03602541397638,261.2406847600412,209.29257103594816,"1995,1999"
China,Male,DALYs,2014,209.09022884460856,153.61419908355728,261.9079077939522,209.34253419327618,"1995,1999"
China,Male,DALYs,2015,209.0753752101842,154.17785612091745,261.97106557912144,209.3925092780084,"1995,1999"
China,Male,DALYs,2016,209.26340575499225,154.46927950980873,262.7785988825696,209.44249629299213,"1995,1999"
China,Male,DALYs,2017,209.50872592637907,152.19541371231375,262.885869646078,209.4924952410755,"1995,1999"
China,Male,DALYs,2018,209.75515660095977,153.80302677281804,262.2482790315293,209.54250612510717,"1995,1999"
China,Male,DALYs,2019,210.0402424143799,156.44757402640982,262.17152443509354,209.59252894793653,"1995,1999"
China,Male,DALYs,2020,210.0792161088028,154.4785446771076,261.18100812954293,209.64256371241368,"1995,1999"
China,Male,DALYs,2021,209.7987789834989,154.60195643444763,261.59146324967026,209.69261042138936,"1995,1999"
China,Male,DALYs,2022,209.63512678989787,153.86306248566265,262.2083096817631,209.74266907771505,"1995,1999"
China,Male,DALYs,2023,209.1412946881056,154.26520770529277,260.5666300417896,209.7927396842428,"1995,1999"
China,Male,Incidence,1990,22.782916362690003,19.22242107758,26.97943154351,22.816231449245514,2006
China,Male,Incidence,1991,22.80992081871,19.25503838243,26.9800908836,22.822948395600164,2006
China,Male,Incidence,1992,22.83253394493,19.28440866957,26.987319816610004,22.82966731937902,2006
China,Male,Incidence,1993,22.85307603628,19.30988353998,27.00755012842,22.836388221164224,2006
China,Male,Incidence,1994,22.87028672082,19.32825123333,27.01926089534,22.843111101538085,2006
China,Male,Incidence,1995,22.88274874173,19.344151205,27.02341860932,22.849835961083084,2006
China,Male,Incidence,1996,22.88302406762,19.33855641546,26.96310163856,22.85656280038188,2006
China,Male,Incidence,1997,22.87206589513,19.32476922478,26.92900245076,22.863291620017296,2006
China,Male,Incidence,1998,22.85997851676,19.31006283091,26.92221536031,22.870022420572333,2006
China,Male,Incidence,1999,22.85248563193,19.2910770112,26.91710266983,22.876755202630157,2006
China,Male,Incidence,2000,22.85456833048,19.26458748673,26.920905498830003,22.883489966774114,2006
China,Male,Incidence,2001,22.86643943251,19.29241589843,26.9298286534,22.89022671358771,2006
China,Male,Incidence,2002,22.88377156863,19.31738530731,26.94824116344,22.89696544365464,2006
China,Male,Incidence,2003,22.90435951441,19.34744139253,26.97080216492,22.90370615755875,2006
China,Male,Incidence,2004,22.92176034363,19.3710994533,26.98771466921,22.910448855884077,2006
China,Male,Incidence,2005,22.92933130176,19.38363103342,27.00900101522,22.917193539214814,2006
China,Male,Incidence,2006,22.92796342348,19.35232553075,27.04218120744,22.92394020813534,2006
China,Male,Incidence,2007,22.92495842757,19.35261417102,27.06948686694,22.91695211630003,2006
China,Male,Incidence,2008,22.9216814711,19.35139294162,27.049229405,22.909966154701806,2006
China,Male,Incidence,2009,22.91794885377,19.35182108833,26.99358292457,22.902982322691287,2006
China,Male,Incidence,2010,22.91314469692,19.35556916571,26.93991844021,22.89600061961929,2006
China,Male,Incidence,2011,22.89962902791,19.32124968525,26.9669971937,22.889021044836838,2006
China,Male,Incidence,2012,22.87584095772,19.27982979555,27.002491775800003,22.882043597695144,2006
China,Male,Incidence,2013,22.85022128077,19.23661796895,27.0371120984,22.875068277545626,2006
