location_name,sex_name,measure_name,start_year,end_year,adult_count_start_reconstructed,adult_count_end_reconstructed,population_source,population_growth,population_aging,rate_change,total_change,component_sum,closure_error,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total,cumulative_population_growth,cumulative_population_aging,cumulative_rate_change,cumulative_total_change,chain_step_years
China,Female,Incidence,2018,2019,134032.7772697242,133035.17912185064,derived_proxy_NOT_OFFICIAL,277.3092739994948,-1488.5078940472838,213.60047217425506,-997.5981478735339,-997.598147873534,-1.1368683772161603e-13,-27.797693348830222,149.20916776160485,-21.411474412774602,39030.72048690968,-19117.841590222288,653.4591449792522,20566.338041666648,1
China,Female,Incidence,2019,2020,133035.17912185064,132123.26930346593,derived_proxy_NOT_OFFICIAL,371.7622612860723,-1382.1815828048566,98.5095031340461,-911.9098183847382,-911.9098183847382,0.0,-40.767437063521605,151.56998586253943,-10.802548799017819,39402.482748195755,-20500.023173027144,751.9686481132983,19654.42822328191,1
China,Female,Incidence,2020,2021,132123.26930346593,131156.39673922455,derived_proxy_NOT_OFFICIAL,451.77636864746216,-1347.6189598721053,-71.02997301676321,-966.8725642414065,-966.8725642414063,2.2737367544323206e-13,-46.725533990295716,139.3791705041736,7.346363486122108,39854.25911684322,-21847.64213289925,680.938675096535,18687.555659040503,1
China,Female,Incidence,2021,2022,131156.39673922455,130343.46187984984,derived_proxy_NOT_OFFICIAL,495.65428508240194,-1204.4326776474143,-104.15646680967136,-812.9348593746836,-812.9348593746837,-1.1368683772161603e-13,-60.970971950158884,148.1585718410297,12.812400109129213,40349.91340192562,-23052.074810546666,576.7822082868637,17874.62079966582,1
China,Female,Incidence,2022,2023,130343.46187984984,129940.20803846579,derived_proxy_NOT_OFFICIAL,538.6901388661499,-1093.7348813090648,151.79090105884825,-403.2538413840666,-403.2538413840666,0.0,-133.58586666334847,271.22739303737245,-37.641526374023975,40888.60354079177,-24145.80969185573,728.5731093457119,17471.366958281753,1
China,Female,Prevalence,1990,1991,1539185.4777092559,1578931.5546440936,derived_proxy_NOT_OFFICIAL,24403.23647778062,15672.162945359481,-329.3224883028306,39746.07693483727,39746.07693483727,0.0,61.39784944760495,39.43071657374793,-0.8285660213528667,24403.23647778062,15672.162945359481,-329.3224883028306,39746.07693483727,1
China,Female,Prevalence,1991,1992,1578931.5546440936,1616518.672066629,derived_proxy_NOT_OFFICIAL,20564.313151436316,17145.413786661848,-122.60951556214907,37587.117422536016,37587.11742253601,-7.275957614183426e-12,54.711067412439085,45.61513348821481,-0.3262009006538937,44967.54962921694,32817.57673202133,-451.93200386497966,77333.19435737329,1
China,Female,Prevalence,1992,1993,1616518.672066629,1652460.171706896,derived_proxy_NOT_OFFICIAL,18600.733245646075,17232.902604274765,107.86379034627075,35941.49964026711,35941.49964026712,7.275957614183426e-12,51.752802280978614,47.94708839852597,0.3001093204954236,63568.28287486301,50050.47933629609,-344.06821351870894,113274.6939976404,1
China,Female,Prevalence,1993,1994,1652460.171706896,1686674.5822832854,derived_proxy_NOT_OFFICIAL,17848.385531069787,16061.012122263512,305.0129230556389,34214.41057638894,34214.41057638894,0.0,52.16628090441751,46.94224407696526,0.8914750186172303,81416.6684059328,66111.4914585596,-39.05529046307004,147489.10457402933,1
China,Female,Prevalence,1994,1995,1686674.5822832854,1718829.630423437,derived_proxy_NOT_OFFICIAL,17416.33244393234,14418.61808719618,320.09760902290384,32155.048140151426,32155.048140151426,0.0,54.1636024552701,44.84091587843687,0.9954816662930253,98833.00084986514,80530.10954575578,281.0423185598338,179644.15271418076,1
China,Female,Prevalence,1995,1996,1718829.630423437,1749961.535798578,derived_proxy_NOT_OFFICIAL,16885.496132011176,13564.452069479274,681.9571736509679,31131.905375141418,31131.905375141418,0.0,54.238556646436784,43.57090228184486,2.190541071718358,115718.49698187632,94094.56161523506,962.9994922108017,210776.05808932218,1
China,Female,Prevalence,1996,1997,1749961.535798578,1781217.3867898735,derived_proxy_NOT_OFFICIAL,17333.417339699226,12572.268410329358,1350.1652412666008,31255.850991295185,31255.850991295185,0.0,55.45655226129219,40.223727755263354,4.3197199834444575,133051.91432157555,106666.83002556441,2313.1647334774025,242031.90908061736,1
China,Female,Prevalence,1997,1998,1781217.3867898735,1813113.1201128836,derived_proxy_NOT_OFFICIAL,19930.69507119246,10279.132559964783,1685.9056918529097,31895.73332301015,31895.73332301015,0.0,62.487025676296646,32.22729653482911,5.285677788874248,152982.609392768,116945.9625855292,3999.070425330312,273927.6424036275,1
China,Female,Prevalence,1998,1999,1813113.1201128836,1845395.536073212,derived_proxy_NOT_OFFICIAL,24136.09712092714,6615.8813365704455,1530.4375028308325,32282.41596032842,32282.415960328417,-3.637978807091713e-12,74.76546101936044,20.493761509983155,4.74077747065639,177118.70651369513,123561.84392209964,5529.507928161145,306210.05836395593,1
China,Female,Prevalence,1999,2000,1845395.536073212,1877330.8161118235,derived_proxy_NOT_OFFICIAL,28684.91892345067,2486.91255103463,763.448564126195,31935.280038611498,31935.280038611498,0.0,89.8220365964195,7.787351631261153,2.3906117723193407,205803.62543714582,126048.75647313427,6292.95649228734,338145.33840256743,1
China,Female,Prevalence,2000,2001,1877330.8161118235,1908855.9028104139,derived_proxy_NOT_OFFICIAL,32973.21585688181,-1159.4178943337176,-288.711263957317,31525.086698590778,31525.086698590778,0.0,104.59357708397918,-3.6777627462815055,-0.9158143376976751,238776.84129402763,124889.33857880055,6004.245228330023,369670.4251011582,1
China,Female,Prevalence,2001,2002,1908855.9028104139,1940859.814327077,derived_proxy_NOT_OFFICIAL,35752.66796768608,-2875.705064905924,-873.0513861172367,32003.91151666292,32003.91151666292,0.0,111.7134321192938,-8.985479988621643,-2.727952130672153,274529.5092617137,122013.63351389463,5131.193842212786,401674.3366178211,1
China,Female,Prevalence,2002,2003,1940859.814327077,1974576.976722774,derived_proxy_NOT_OFFICIAL,37536.50502428199,-2808.068071689146,-1011.274556895524,33717.16239569732,33717.16239569733,7.275957614183426e-12,111.32759211395577,-8.328304851797038,-2.9992872621587328,312066.0142859957,119205.56544220548,4119.919285317262,435391.49901351845,1
China,Female,Prevalence,2003,2004,1974576.976722774,2010308.1738945555,derived_proxy_NOT_OFFICIAL,38052.31977505023,-1556.2752423731533,-764.8473608961019,35731.19717178098,35731.19717178098,0.0,106.4960672661211,-4.355508254848609,-2.1405590112724986,350118.3340610459,117649.29019983234,3355.07192442116,471122.6961852994,1
China,Female,Prevalence,2004,2005,2010308.1738945555,2047614.233328827,derived_proxy_NOT_OFFICIAL,36721.63967064831,1033.5360825582563,-449.1163189351404,37306.05943427142,37306.05943427142,0.0,98.43344547109622,2.7704241569099968,-1.2038696280062138,386839.9737316942,118682.82628239058,2905.9556054860195,508428.75561957085,1
China,Female,Prevalence,2005,2006,2047614.233328827,2085761.1939890692,derived_proxy_NOT_OFFICIAL,33345.14451766736,4659.431809028378,142.3843335462734,38146.96066024201,38146.96066024201,0.0,87.41232313278563,12.214424762506932,0.3732521047074425,420185.1182493616,123342.25809141896,3048.339939032293,546575.7162798129,1
China,Female,Prevalence,2006,2007,2085761.1939890692,2124406.489496568,derived_proxy_NOT_OFFICIAL,29941.587801531852,8066.8708661279725,636.8368398394281,38645.29550749925,38645.29550749926,7.275957614183426e-12,77.47796312159545,20.874134251509524,1.6479026268950323,450126.70605089347,131409.12895754693,3685.176778871721,585221.0117873121,1
China,Female,Prevalence,2007,2008,2124406.489496568,2163572.5990954,derived_proxy_NOT_OFFICIAL,26848.20997716137,11444.339939984726,873.5596816851756,39166.10959883127,39166.10959883127,0.0,68.5495961997781,29.220006932540034,2.2303968676818564,476974.91602805484,142853.46889753165,4558.736460556896,624387.1213861434,1
China,Female,Prevalence,2008,2009,2163572.5990954,2202481.3398691346,derived_proxy_NOT_OFFICIAL,23996.75905497085,14156.26776852195,755.7139502427696,38908.74077373557,38908.74077373557,0.0,61.674468455605485,36.38325858666134,1.9422729577331797,500971.67508302565,157009.73666605362,5314.450410799666,663295.862159879,1
China,Female,Prevalence,2009,2010,2202481.3398691346,2239826.889363005,derived_proxy_NOT_OFFICIAL,21240.062243479693,15762.164490175355,343.322760214253,37345.5494938693,37345.5494938693,0.0,56.87441350131023,42.20627277893687,0.9193137197529075,522211.73732650536,172771.90115622897,5657.77317101392,700641.4116537482,1
China,Female,Prevalence,2010,2011,2239826.889363005,2274181.6676221886,derived_proxy_NOT_OFFICIAL,18291.590738290535,16002.880300107026,60.3072207866547,34354.77825918421,34354.77825918422,7.275957614183426e-12,53.2432216569483,46.58123588915584,0.17554245389586387,540503.3280647959,188774.781456336,5718.080391800574,734996.1899129325,1
China,Female,Prevalence,2011,2012,2274181.6676221886,2305828.6056492613,derived_proxy_NOT_OFFICIAL,15329.166132344633,16032.054385028316,285.7175097002182,31646.938027073164,31646.938027073167,3.637978807091713e-12,48.43807043585359,50.659101273283675,0.9028282908627496,555832.4941971406,204806.8358413643,6003.797901500792,766643.1279400056,1
China,Female,Prevalence,2012,2013,2305828.6056492613,2335121.264506881,derived_proxy_NOT_OFFICIAL,12465.44878248079,16407.76952919783,419.4405459407717,29292.65885761939,29292.65885761939,0.0,42.55485595578965,56.013247581757035,1.431896462453322,568297.9429796214,221214.60537056215,6423.238447441564,795935.786797625,1
China,Female,Prevalence,2013,2014,2335121.264506881,2361110.838489692,derived_proxy_NOT_OFFICIAL,9767.262988169987,15839.65251276999,382.6584818710884,25989.573982811067,25989.573982811064,-3.637978807091713e-12,37.581466301178466,60.94617989215979,1.4723538066617416,578065.2059677913,237054.25788333215,6805.896929312652,821925.3607804361,1
China,Female,Prevalence,2014,2015,2361110.838489692,2383807.1109727873,derived_proxy_NOT_OFFICIAL,7391.555042029358,15190.011256374886,114.70618469035252,22696.272483094595,22696.272483094595,0.0,32.567264283309015,66.92733913768978,0.5053965790012076,585456.7610098206,252244.26913970703,6920.6031140030045,844621.6332635307,1
China,Female,Prevalence,2015,2016,2383807.1109727873,2402087.7746185,derived_proxy_NOT_OFFICIAL,5502.435030599823,12484.620083726943,293.6085313868243,18280.66364571359,18280.66364571359,0.0,30.099755332952707,68.29412939094424,1.6061152761030588,590959.1960404204,264728.889223434,7214.211645389829,862902.2969092443,1
China,Female,Prevalence,2016,2017,2402087.7746185,2416940.61439458,derived_proxy_NOT_OFFICIAL,4172.617397228799,10054.569490411863,625.6528884394404,14852.839776080102,14852.839776080104,1.8189894035458565e-12,28.093061395226457,67.69459337065186,4.212345234121687,595131.8134376493,274783.4587138458,7839.86453382927,877755.1366853244,1
China,Female,Prevalence,2017,2018,2416940.61439458,2429757.6609668895,derived_proxy_NOT_OFFICIAL,3982.3311749442946,8418.84955766797,415.8658396971877,12817.046572309453,12817.046572309453,0.0,31.07058363623262,65.68478557186839,3.2446307918989987,599114.1446125936,283202.3082715138,8255.730373526458,890572.1832576338,1
China,Female,Prevalence,2018,2019,2429757.6609668895,2440458.4369422887,derived_proxy_NOT_OFFICIAL,5056.983285904008,4278.2954598686965,1365.4972296260144,10700.77597539872,10700.77597539872,0.0,47.258098828814894,39.981170241341154,12.760730929843943,604171.1278984976,287480.60373138246,9621.227603152473,901272.9592330325,1
China,Female,Prevalence,2019,2020,2440458.4369422887,2450449.4437205894,derived_proxy_NOT_OFFICIAL,6857.214011384484,2921.0495846749595,212.74318224129578,9991.00677830074,9991.00677830074,0.0,68.63386406941015,29.236789139400113,2.129346791189736,611028.341909882,290401.65331605746,9833.970785393767,911263.9660113333,1
China,Female,Prevalence,2020,2021,2450449.4437205894,2457956.505371521,derived_proxy_NOT_OFFICIAL,8422.493350452665,-1017.8117646608346,102.38006513953829,7507.0616509313695,7507.0616509313695,0.0,112.19427443236358,-13.55805789252522,1.3637834601616257,619450.8352603348,289383.8415513966,9936.350850533307,918771.0276622646,1
China,Female,Prevalence,2021,2022,2457956.505371521,2463276.0371070183,derived_proxy_NOT_OFFICIAL,9327.754351454787,-3724.2246680683456,-283.9979478889145,5319.531735497527,5319.531735497527,0.0,175.3491625815515,-70.01038537314083,-5.3387772084106695,628778.5896117896,285659.61688332824,9652.352902644392,924090.5593977622,1
China,Female,Prevalence,2022,2023,2463276.0371070183,2465013.757607841,derived_proxy_NOT_OFFICIAL,10200.015771748343,-6205.154162431059,-2257.1411084946403,1737.7205008226447,1737.7205008226438,-9.094947017729282e-13,586.9767760073964,-357.0858581396439,-129.8909178677526,638978.6053835378,279454.4627208972,7395.211794149751,925828.2798985848,1
China,Male,DALYs,1990,1991,1244646.2134439773,1280536.8183233554,derived_proxy_NOT_OFFICIAL,21367.35502445302,12093.07057670923,2430.179278216092,35890.60487937834,35890.60487937834,0.0,59.53467515040421,33.69425123190817,6.771073617687619,21367.35502445302,12093.07057670923,2430.179278216092,35890.60487937834,1
