location_name,sex_name,measure_name,age_name,age_midpoint,reference_age,reference_period,reference_cohort,fitted_rate,fitted_rate_lower,fitted_rate_upper,age_rr_vs_reference,age_rr_vs_reference_lower,age_rr_vs_reference_upper,age_rr_vs_reference_se
China,Female,Incidence,65-69 years,67.0,40-44 years,2004-2008,1959,20.379582536733867,17.496793785785535,23.737342364345725,0.9061916609869918,0.7950484922857065,1.0328720001487215,0.06675904113956876
United States of America,Female,Incidence,15-19 years,17.0,40-44 years,2004-2008,1959,32.044926526352874,22.451186322276257,45.73822074873958,1.7502270097861914,1.2868394060718225,2.3804793133714006,0.15691651029551476
United States of America,Female,Incidence,20-24 years,22.0,40-44 years,2004-2008,1959,42.50170897567936,29.777650415804466,60.66278704429276,2.321354644084824,1.7083718803529906,3.154282416835817,0.1564337313150446
United States of America,Female,Incidence,25-29 years,27.0,40-44 years,2004-2008,1959,31.126677918957352,21.82242698728078,44.39790674223421,1.7000741872156504,1.2567140111885686,2.299848825034923,0.15416913412276081
United States of America,Female,Incidence,30-34 years,32.0,40-44 years,2004-2008,1959,22.867804807312744,16.037895137806128,32.60630476830079,1.2489917739509484,0.9245635977383388,1.687261379545064,0.1534541245093358
United States of America,Female,Incidence,35-39 years,37.0,40-44 years,2004-2008,1959,20.17435296960477,14.350016352372855,28.362651842894955,1.101881055752298,0.8186665351981408,1.4830725439778012,0.15158020866741242
United States of America,Female,Incidence,40-44 years,42.0,40-44 years,2004-2008,1959,18.309011543746834,13.032808907726547,25.721232167404715,1.2090158598368563,0.9644423304089309,1.5156109424575683,0.11531220935199599
United States of America,Female,Incidence,45-49 years,47.0,40-44 years,2004-2008,1959,18.649144908973632,13.260670000815127,26.227227267892093,1.0185773745575561,0.7542448117550199,1.375547901412076,0.15328836866086643
United States of America,Female,Incidence,50-54 years,52.0,40-44 years,2004-2008,1959,18.68025911452538,13.254283243787985,26.32749535885732,1.0202767675301043,0.7524029319771675,1.383520236459243,0.15538633466100213
United States of America,Female,Incidence,55-59 years,57.0,40-44 years,2004-2008,1959,18.753467346008044,13.251039631979651,26.540750557339372,1.0242752483496584,0.7511141242922494,1.3967781332434999,0.15825661396529597
United States of America,Female,Incidence,60-64 years,62.0,40-44 years,2004-2008,1959,17.580788510030168,12.357708250967235,25.011443736763802,0.9602259776844494,0.6994339758174339,1.3182572767393355,0.16168226949609232
