location_name,sex_name,measure_name,cohort_label,cohort_midpoint,reference_cohort,cohort_rr,cohort_rr_lower,cohort_rr_upper
China,Female,Incidence,1934,1934.5,1959,1.0044988948141853,0.8649161066535392,1.1666079772602775
China,Female,Incidence,1939,1939.0,1959,0.9977250905477253,0.8618868958650406,1.1549721443547054
China,Female,Incidence,1940,1939.5,1959,1.0292463936052623,0.8811744298772305,1.202200271400331
China,Female,Incidence,1944,1944.5,1959,0.9996712646209883,0.8658217646044392,1.154212885564834
China,Female,Incidence,1944,1944.5,1959,0.99967126462099,0.8658217646044406,1.154212885564836
China,Female,Incidence,1949,1949.0,1959,0.9822795699873416,0.8598798196207401,1.122102335231085
China,Female,Incidence,1950,1949.5,1959,1.0251144775316092,0.8793977248676106,1.19497658718995
China,Female,Incidence,1954,1954.5,1959,0.9976643697085428,0.8701361674271164,1.143883258558281
China,Female,Incidence,1954,1954.5,1959,0.9976643697085432,0.8701361674271169,1.1438832585582814
China,Female,Incidence,1959,1959.0,1959,1.0362145030312513,0.9430023725444749,1.1386402914290248
China,Female,Incidence,1960,1959.5,1959,1.0369754494886225,0.889994848486516,1.2082295584865093
China,Female,Incidence,1964,1964.5,1959,1.026167972154142,0.896381571775338,1.1747460459158843
China,Female,Incidence,1964,1964.5,1959,1.0261679721541432,0.8963815717753391,1.1747460459158858
China,Female,Incidence,1969,1969.0,1959,1.029205646548172,0.9128027899297263,1.1604524817109623
China,Female,Incidence,1970,1969.5,1959,1.0758253534636117,0.9253091609062588,1.2508253890208259
China,Female,Incidence,1974,1974.5,1959,1.0527472997042133,0.9189065862595986,1.2060821998738136
China,Female,Incidence,1974,1974.5,1959,1.052747299704211,0.9189065862595965,1.206082199873811
China,Female,Incidence,1979,1979.0,1959,1.0760194514932357,0.9492926320284821,1.2196638011586982
China,Female,Incidence,1984,1984.0,1959,1.095240540385996,0.964388136982449,1.2438475706040746
China,Female,Incidence,1989,1989.0,1959,1.1078628572502638,0.9724049536960899,1.2621903105383714
China,Female,Incidence,1994,1994.0,1959,1.0945950357219327,0.9524803111633775,1.257913972797685
China,Female,Incidence,1999,1999.0,1959,1.075139486089961,0.9284305434791674,1.2450311147865878
China,Female,Incidence,2004,2004.0,1959,1.0463183972161538,0.898330251623135,1.2186856519357883
United States of America,Female,Incidence,1924,1924.5,1959,1.0872503601305201,0.7373581616575965,1.603173880853953
United States of America,Female,Incidence,1929,1929.0,1959,1.075498341838716,0.7315631116459053,1.581130410875197
United States of America,Female,Incidence,1930,1929.5,1959,1.103930581640571,0.7495275306973559,1.6259078942003007
United States of America,Female,Incidence,1934,1934.5,1959,1.04526344412874,0.7217437416124135,1.5137999883324298
United States of America,Female,Incidence,1934,1934.5,1959,1.0452634441287374,0.7217437416124117,1.5137999883324258
United States of America,Female,Incidence,1939,1939.0,1959,1.014341959990329,0.7085638845304936,1.452077412157101
United States of America,Female,Incidence,1940,1939.5,1959,1.1118787252813505,0.7557824045472004,1.635754275695198
United States of America,Female,Incidence,1944,1944.5,1959,1.0202420639567584,0.7173639805075434,1.4509982342998342
United States of America,Female,Incidence,1944,1944.5,1959,1.0202420639567602,0.7173639805075447,1.4509982342998369
United States of America,Female,Incidence,1949,1949.0,1959,0.9607577948848793,0.6965699050053016,1.3251441582521866
United States of America,Female,Incidence,1950,1949.5,1959,1.1082104709554867,0.7575156738442238,1.6212607743188898
United States of America,Female,Incidence,1954,1954.5,1959,1.0256347082608932,0.7313521841710559,1.4383310497413822
United States of America,Female,Incidence,1954,1954.5,1959,1.0256347082608965,0.7313521841710583,1.438331049741387
United States of America,Female,Incidence,1959,1959.0,1959,1.144202023009566,0.9092050844074621,1.4399372505845596
United States of America,Female,Incidence,1960,1959.5,1959,1.154973678879542,0.7899439699694413,1.6886820453305658
United States of America,Female,Incidence,1964,1964.5,1959,1.103365443768316,0.7871138352233732,1.5466826372789721
United States of America,Female,Incidence,1964,1964.5,1959,1.1033654437683131,0.7871138352233711,1.546682637278968
United States of America,Female,Incidence,1969,1969.0,1959,1.1189104067161257,0.8221496090847359,1.522789142539884
United States of America,Female,Incidence,1970,1969.5,1959,1.2422775705308435,0.8475652038560977,1.8208080690698498
United States of America,Female,Incidence,1974,1974.5,1959,1.2034779783561467,0.8551239617192901,1.6937418540771143
United States of America,Female,Incidence,1974,1974.5,1959,1.2034779783561496,0.8551239617192922,1.6937418540771185
United States of America,Female,Incidence,1979,1979.0,1959,1.290630068701284,0.9438049147844914,1.764904958792499
United States of America,Female,Incidence,1984,1984.0,1959,1.3419352113752592,0.9735336833033746,1.8497460770112826
United States of America,Female,Incidence,1989,1989.0,1959,1.3801414423339617,0.9912343287810365,1.9216348198816628
United States of America,Female,Incidence,1994,1994.0,1959,1.3778399586595105,0.9772747927860268,1.9425886820090152
United States of America,Female,Incidence,1999,1999.0,1959,1.3265150449144396,0.9265000799023352,1.8992358474160587
United States of America,Female,Incidence,2004,2004.0,1959,1.2264997212236062,0.8418872227996331,1.7868207586749458
China,Female,Prevalence,1924,1924.5,1959,0.9137142848960004,0.6456033139608532,1.2931683843147568
