location_name,sex_name,measure_name,start_year,end_year,interval_label,count_start,count_end,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total
China,Female,Prevalence,1995,2000,1995-2000,1718829.6304234315,1877330.816111812,106459.20859686386,46036.521505567674,6005.455585955138,158501.18568838667,67.16619067201343,29.044906702512293,3.788902625474275
China,Female,Prevalence,2000,2005,2000-2005,1877330.816111812,2047614.233328822,181149.1637397848,-7478.743982151462,-3387.0025406299005,170283.4172170034,106.38097749056472,-4.391939100341641,-1.9890383902230595
China,Female,Prevalence,2005,2010,2005-2010,2047614.233328822,2239826.8893630053,135882.05907620667,53352.55550080298,2978.041457167749,192212.6560341774,70.69360669572426,27.757046076776724,1.5493472274990165
China,Female,Prevalence,2010,2015,2010-2015,2239826.8893630053,2383807.110972786,63429.88955143777,79069.48243861117,1480.8496197334803,143980.22160978243,44.054585305019536,54.91690563784975,1.02850905713071
China,Female,Prevalence,2015,2020,2015-2020,2383807.110972786,2450449.4437205875,25508.675060014004,37971.83129000594,3161.826397782657,66642.3327478026,38.27698402537552,56.97854460422978,4.7444713703946855
China,Female,Prevalence,2020,2023,2020-2023,2450449.4437205875,2465013.7576078335,27923.76244147215,-10889.816252326127,-2469.632301894482,14564.313887251541,191.72727708041518,-74.77054076579755,-16.95673631461764
United States of America,Female,Prevalence,1990,1995,1990-1995,624851.7298002982,653510.7750654957,30237.01100437417,1512.7707217994416,-3090.736460973877,28659.045265199733,105.50599548789066,5.278510528877867,-10.784506016768514
United States of America,Female,Prevalence,1995,2000,1995-2000,653510.7750654957,679357.8214451422,34315.95011856486,-3254.9991114706113,-5213.904627448549,25847.046379645704,132.76546037224716,-12.593311683124814,-20.17214868912236
United States of America,Female,Prevalence,2000,2005,2000-2005,679357.8214451422,719252.5631525548,39800.013007757916,-3784.7757773303124,3879.504476985273,39894.741707412875,99.76255342032367,-9.486903825791808,9.724350405468146
United States of America,Female,Prevalence,2005,2010,2005-2010,719252.5631525548,748404.9438932331,39932.14612116494,-4220.18188588294,-6559.5834946052255,29152.380740676774,136.97730719277752,-14.476285567972342,-22.501021624805194
United States of America,Female,Prevalence,2010,2015,2010-2015,748404.9438932331,741449.1967054267,34178.96588897534,-3823.4076941584544,-37311.30538262388,-6955.747187806992,-491.3773454689242,54.96760579310098,536.4097396758233
