location_name,sex_name,measure_name,age_name,age_midpoint,local_drift,local_drift_lower,local_drift_upper
United States of America,Female,Incidence,35-39 years,37.0,0.061560903036195214,0.017384237045203754,0.10575708141329354
United States of America,Female,Incidence,40-44 years,42.0,0.13231118727297098,0.07050141827509293,0.1941591338305626
United States of America,Female,Incidence,45-49 years,47.0,0.10741573548205263,0.056614782639918815,0.15824248108977645
United States of America,Female,Incidence,50-54 years,52.0,0.08325032480698269,0.042655950764847184,0.12386117085485537
United States of America,Female,Incidence,55-59 years,57.0,0.056763219451627656,0.01802520307470079,0.09551623946324472
United States of America,Female,Incidence,60-64 years,62.0,0.039639426302851,-0.001965687845872921,0.08126185064707414
United States of America,Female,Incidence,65-69 years,67.0,0.03644895682570759,-0.0030702508013402685,0.07598378260995631
China,Female,Prevalence,15-19 years,17.0,-0.1700571122285166,-0.21770236470448623,-0.12238910952392379
China,Female,Prevalence,20-24 years,22.0,-0.07758944978711879,-0.10400761758935229,-0.05116429552253221
China,Female,Prevalence,25-29 years,27.0,-0.023255385800224904,-0.038397095244335766,-0.008111382761788466
China,Female,Prevalence,30-34 years,32.0,0.011121807795877459,-0.004208436050467945,0.026454401904918434
China,Female,Prevalence,35-39 years,37.0,0.022029426650260753,0.011075111211678035,0.03298494192622847
China,Female,Prevalence,40-44 years,42.0,0.019801175713585195,0.01407699819946373,0.02552568084368545
China,Female,Prevalence,45-49 years,47.0,0.029501406054288637,0.01853000375744429,0.04047401184481547
China,Female,Prevalence,50-54 years,52.0,0.05307082774901328,0.04298159709086313,0.06316107589556808
China,Female,Prevalence,55-59 years,57.0,0.07044099337980558,0.0611643996792921,0.07971844710621401
China,Female,Prevalence,60-64 years,62.0,0.08011653145423292,0.06378120095180684,0.09645452868602966
China,Female,Prevalence,65-69 years,67.0,0.10257925459538075,0.08557959749548871,0.11958179910767086
United States of America,Female,Prevalence,15-19 years,17.0,-0.29943751255997464,-0.3697396352164817,-0.2290857826011128
United States of America,Female,Prevalence,20-24 years,22.0,-0.45629062524101816,-0.561291533176056,-0.35117884307163116
United States of America,Female,Prevalence,25-29 years,27.0,-0.427325782168575,-0.5183145000221989,-0.3362538435016438
United States of America,Female,Prevalence,30-34 years,32.0,-0.3639672788558368,-0.4356211009473032,-0.2922618894239615
United States of America,Female,Prevalence,35-39 years,37.0,-0.3057156266551453,-0.3650218275122241,-0.24637412468669906
United States of America,Female,Prevalence,40-44 years,42.0,-0.2521147891290876,-0.3011225551366792,-0.2030829329693229
United States of America,Female,Prevalence,45-49 years,47.0,-0.21068255994751706,-0.25026322893215713,-0.1710861853639556
United States of America,Female,Prevalence,50-54 years,52.0,-0.17705229771046715,-0.20643479633414286,-0.1476611479155232
United States of America,Female,Prevalence,55-59 years,57.0,-0.14698875682301882,-0.16655506515332874,-0.12741861370143548
United States of America,Female,Prevalence,60-64 years,62.0,-0.12062313854844797,-0.1326840026387166,-0.10856081788110927
United States of America,Female,Prevalence,65-69 years,67.0,-0.10027987812226691,-0.10958439744742643,-0.09097449210653252
China,Male,DALYs,15-19 years,17.0,-0.08260036611223986,-0.11872505804324529,-0.046462608735609034
China,Male,DALYs,20-24 years,22.0,-0.038104701903063365,-0.055337702274715905,-0.020868730124079526
China,Male,DALYs,25-29 years,27.0,-0.03274813816791511,-0.05026545982935726,-0.015227746397694641
China,Male,DALYs,30-34 years,32.0,0.001316826814701244,-0.009031657943026072,0.011666382580521883
China,Male,DALYs,35-39 years,37.0,0.027670325316542232,0.01902161437499217,0.036319784117866405
China,Male,DALYs,40-44 years,42.0,0.0329092798489139,0.025071004576848743,0.04074816935257797
China,Male,DALYs,45-49 years,47.0,0.041287784860588594,0.02788513349074595,0.05469223204033202
China,Male,DALYs,50-54 years,52.0,0.04981116760558457,0.037319994615558905,0.062303900307569826
China,Male,DALYs,55-59 years,57.0,0.04719683144498443,0.038035411544345976,0.0563590903426503
China,Male,DALYs,60-64 years,62.0,0.04276751119358657,0.03009393249016057,0.05544269560973092
China,Male,DALYs,65-69 years,67.0,0.06658602050337858,0.05086244329874923,0.0823120687599932
United States of America,Male,DALYs,15-19 years,17.0,-0.16705422275493653,-0.2103976818241704,-0.12369193752145291
United States of America,Male,DALYs,20-24 years,22.0,-0.31003895526371394,-0.38847934610163337,-0.23153679551719542
United States of America,Male,DALYs,25-29 years,27.0,-0.2657396108979415,-0.3301224575925965,-0.2013151753998299
United States of America,Male,DALYs,30-34 years,32.0,-0.1787724525888046,-0.22213841306519821,-0.13538764417863058
United States of America,Male,DALYs,35-39 years,37.0,-0.11840293586234951,-0.14727146360935528,-0.08952606190480994
United States of America,Male,DALYs,40-44 years,42.0,-0.0582065932024034,-0.07873048249896764,-0.03767848828654108
United States of America,Male,DALYs,45-49 years,47.0,-0.020134768302915163,-0.03674150031764967,-0.0035252774390648334
United States of America,Male,DALYs,50-54 years,52.0,-0.0010908789571884014,-0.018636964558282898,0.016458285868981015
United States of America,Male,DALYs,55-59 years,57.0,-0.003505762512812094,-0.022692689678249778,0.01568484686997884
United States of America,Male,DALYs,60-64 years,62.0,-0.012393223791584695,-0.027106215798111677,0.0023219335232083083
United States of America,Male,DALYs,65-69 years,67.0,-0.03834430727672755,-0.052044979393162105,-0.02464175709869787
China,Male,Incidence,15-19 years,17.0,-0.05771455737973996,-0.0812612467019802,-0.034162319082542414
China,Male,Incidence,20-24 years,22.0,-0.02004426766855083,-0.03957974539655629,-0.0005049720805394564
China,Male,Incidence,25-29 years,27.0,0.014222930681206947,-0.00963018400018667,0.03808173562136474
China,Male,Incidence,30-34 years,32.0,0.08004219200776763,0.05693054863646907,0.10315917382046624
China,Male,Incidence,35-39 years,37.0,0.08757643371053447,0.06155315338964851,0.11360648197673573
China,Male,Incidence,40-44 years,42.0,0.06646321288727997,0.03963861023308368,0.09329500828343384
China,Male,Incidence,45-49 years,47.0,0.022545574181598305,0.008052037829475722,0.037041210990551576
China,Male,Incidence,50-54 years,52.0,-0.018838416540467584,-0.03523569163359497,-0.0024384517933073724
China,Male,Incidence,55-59 years,57.0,-0.05098798971281404,-0.08252471887918444,-0.019441306679190973
China,Male,Incidence,60-64 years,62.0,-0.08355308945314777,-0.1170415852807416,-0.050053365690683194
China,Male,Incidence,65-69 years,67.0,-0.07666277404888566,-0.1157273466007247,-0.037582923407819546
United States of America,Male,Incidence,15-19 years,17.0,-0.2844645340499663,-0.3635125654993576,-0.20535378871494592
United States of America,Male,Incidence,20-24 years,22.0,-0.2776471762811261,-0.3562233991180497,-0.199008990489713
United States of America,Male,Incidence,25-29 years,27.0,-0.08051857051936118,-0.11595113151510184,-0.04507344028565896
United States of America,Male,Incidence,30-34 years,32.0,0.09300024113048089,0.05111881770742954,0.13489919612788004
United States of America,Male,Incidence,35-39 years,37.0,0.16706873098157882,0.11213068307533991,0.22203692697366773
United States of America,Male,Incidence,40-44 years,42.0,0.21208675813220168,0.12942484395539466,0.29481691390798037
United States of America,Male,Incidence,45-49 years,47.0,0.17616905738098154,0.10779731401924231,0.24458749735789542
United States of America,Male,Incidence,50-54 years,52.0,0.12312209976474975,0.07104523259493511,0.1752260676817219
United States of America,Male,Incidence,55-59 years,57.0,0.05602101871049481,0.015522011707913563,0.09653642486326941
United States of America,Male,Incidence,60-64 years,62.0,0.01633019651472445,-0.024804645958387272,0.057481963938688097
United States of America,Male,Incidence,65-69 years,67.0,0.01563520156138143,-0.023778815197472714,0.055064756662237535
China,Male,Prevalence,15-19 years,17.0,-0.09150652481583199,-0.1253133268909079,-0.05768827940206833
China,Male,Prevalence,20-24 years,22.0,-0.04369541133119048,-0.05868432426592296,-0.028704250402122877
China,Male,Prevalence,25-29 years,27.0,-0.03273255731451874,-0.04988741762076421,-0.015574752647085077
China,Male,Prevalence,30-34 years,32.0,0.0019210784364398492,-0.009421319381719417,0.013264762875730973
China,Male,Prevalence,35-39 years,37.0,0.02971518677297169,0.023940237099195905,0.03549046986737192
China,Male,Prevalence,40-44 years,42.0,0.03843086620500813,0.030205916206149652,0.04665649249764314
China,Male,Prevalence,45-49 years,47.0,0.04759153015789774,0.032389820094813615,0.06279555039259144
China,Male,Prevalence,50-54 years,52.0,0.05436363434008218,0.040717452732419446,0.0680116773725592
China,Male,Prevalence,55-59 years,57.0,0.051503109694372995,0.04301559385713194,0.05999134560110697
China,Male,Prevalence,60-64 years,62.0,0.04265486173091748,0.03341312410294339,0.05189745317077943
China,Male,Prevalence,65-69 years,67.0,0.057470532913916905,0.04739049336965895,0.06755158804887529
United States of America,Male,Prevalence,15-19 years,17.0,-0.15566673677805953,-0.19616724047474277,-0.11514979793301183
United States of America,Male,Prevalence,20-24 years,22.0,-0.2771951769155123,-0.35227036491982666,-0.20206342682116407
United States of America,Male,Prevalence,25-29 years,27.0,-0.23383568645430897,-0.2927013911533938,-0.17493522831952824
United States of America,Male,Prevalence,30-34 years,32.0,-0.16710450448108594,-0.20574366091381524,-0.1284503874237175
United States of America,Male,Prevalence,35-39 years,37.0,-0.11091581392448369,-0.1356430162049227,-0.08618248899376901
United States of America,Male,Prevalence,40-44 years,42.0,-0.06138017811773144,-0.07670682915895677,-0.04605117621090393
United States of America,Male,Prevalence,45-49 years,47.0,-0.023766135275171685,-0.037826753017122794,-0.009703539775374193
United States of America,Male,Prevalence,50-54 years,52.0,0.0016477843271411885,-0.01406318035127585,0.01736121769686516
United States of America,Male,Prevalence,55-59 years,57.0,0.013809047538693164,-0.0018884731524893006,0.02950903239797853
United States of America,Male,Prevalence,60-64 years,62.0,0.01503879772692951,0.0014597468398713787,0.02861969249330354
United States of America,Male,Prevalence,65-69 years,67.0,0.015908079763971017,0.002975263751925361,0.02884256830355536
