location_name,sex_name,measure_name,start_year,end_year,interval_label,count_start,count_end,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total
China,Female,DALYs,2018,2019,2018-2019,1537919.4177549977,1543174.0724626982,3199.222478322607,970.1074278698457,1085.3248015073282,5254.654707699781,60.88359095479106,18.461868226057216,20.65454081915171
China,Female,DALYs,2019,2020,2019-2020,1543174.0724626982,1547019.8911503556,4332.588114150839,134.1422490067004,-620.9116755071639,3845.818687650375,112.6571080447336,3.488002422928975,-16.14511046766257
China,Female,DALYs,2020,2021,2020-2021,1547019.8911503556,1550439.6259348781,5315.037884070926,-2371.2092357636043,475.90613622012705,3419.734784527449,155.42251721153218,-69.33898051077274,13.9164632992406
China,Female,DALYs,2021,2022,2021-2022,1550439.6259348781,1552061.961190982,5880.563424672156,-4053.4746703506294,-204.75349821600443,1622.3352561055217,362.47522838088815,-249.85431680016322,-12.620911580724881
China,Female,DALYs,2022,2023,2022-2023,1552061.961190982,1548871.3277335828,6417.944382172039,-5632.061071923623,-3976.5167676448277,-3190.6334573964123,-201.14953559752183,176.518586265921,124.63094933160086
United States of America,Female,DALYs,1990,1991,1990-1991,385611.4138011097,389042.63877341256,3311.863810345472,1033.8029585658805,-914.4417966071633,3431.2249723041896,96.52132509753324,30.12926773704509,-26.650592834578347
United States of America,Female,DALYs,1991,1992,1991-1992,389042.63877341256,392969.0667111154,3529.7189938558054,309.37048160813475,87.33846223746272,3926.4279377014027,89.8964414949167,7.879183994122798,2.2243745109605175
United States of America,Female,DALYs,1992,1993,1992-1993,392969.0667111154,396259.0055952226,3879.2996048638406,-267.76669985881506,-321.59402089762926,3289.938884107396,117.91403249475091,-8.138956658201378,-9.77507583654953
United States of America,Female,DALYs,1993,1994,1993-1994,396259.0055952226,399509.91873376287,3802.178033248832,-179.75423934125382,-371.51065536670893,3250.913138540869,116.95723235950227,-5.529346115409722,-11.427886244092537
United States of America,Female,DALYs,1994,1995,1994-1995,399509.91873376287,402529.8924930821,4150.784224578451,-373.400149255341,-757.4103160030112,3019.973759320099,137.44438049398605,-12.36435078626002,-25.080029707726023
United States of America,Female,DALYs,1995,1996,1995-1996,402529.8924930821,406143.00958763267,4171.127671058726,-315.67343941060244,-242.33713709778385,3613.11709455034,115.44402137838358,-8.736872654548957,-6.707148723834626
United States of America,Female,DALYs,1996,1997,1996-1997,406143.00958763267,409566.6020144114,4226.509708193198,-546.2471374650098,-256.67014394996414,3423.5924267782248,123.4524786050704,-15.955378718344,-7.497099886726407
United States of America,Female,DALYs,1997,1998,1997-1998,409566.6020144114,412702.818063011,4245.379959989242,-702.3375947962728,-406.8263165929336,3136.2160486000357,135.36631068144433,-22.394426401516142,-12.971884279928206
United States of America,Female,DALYs,1998,1999,1998-1999,412702.818063011,416024.7804713205,4287.183811725011,-528.526320387978,-436.6950830276376,3321.962408309395,129.05575936083017,-15.9100632525506,-13.145696108279544
United States of America,Female,DALYs,1999,2000,1999-2000,416024.7804713205,419365.43435965606,4236.660965480414,-400.0023590939139,-496.0047180518644,3340.6538883346366,126.82130825568554,-11.973774370661332,-14.847533885024221
United States of America,Female,DALYs,2000,2001,2000-2001,419365.43435965606,424083.0862137199,4811.771513424076,-283.38890245412284,189.26924309529323,4717.651854065247,101.99505309569899,-6.006990579644486,4.011937483945495
United States of America,Female,DALYs,2001,2002,2001-2002,424083.0862137199,429733.421750658,4797.694809412118,-452.88366487718304,1305.5243924017122,5650.335536936647,84.90990982834991,-8.015164089223553,23.105254260873643
United States of America,Female,DALYs,2002,2003,2002-2003,429733.421750658,434172.3812252253,4630.635230882511,-628.3582894412297,436.68253312691616,4438.959474568197,104.31803348087469,-14.155531111316433,9.837497630441755
United States of America,Female,DALYs,2003,2004,2003-2004,434172.3812252253,439625.21112496057,4915.4833574135355,-598.8930055306894,1136.2395478527858,5452.829899735632,90.14554731758369,-10.983159506951159,20.837612189367462
