sex_name,measure_name,metric_name,age_name,year,China,United States of America,china_us_pct_difference,china_us_absolute_difference
Male,Incidence,Number,65-69 years,2020,7171.800954068308,931.7213909204496,669.7366427299978,6240.079563147859
Male,Incidence,Number,70+ years,2020,3452.110746353768,540.7498222640079,538.3933205748441,2911.36092408976
Male,Incidence,Number,15-19 years,2021,12969.10681554836,5593.261694712217,131.87019530677696,7375.845120836144
Male,Incidence,Number,20-24 years,2021,20618.97521823424,9450.045857302925,118.18915515949642,11168.929360931317
Male,Incidence,Number,25-29 years,2021,19763.706160052363,6923.31536084713,185.4659239101033,12840.390799205234
Male,Incidence,Number,30-34 years,2021,21126.90144073759,4533.414987032198,366.02619661272894,16593.486453705395
Male,Incidence,Number,35-39 years,2021,14912.539934644294,3253.059060696188,358.4158988940353,11659.480873948105
Male,Incidence,Number,40-44 years,2021,11843.394749079394,2451.0191985663782,383.20285520434504,9392.375550513016
Male,Incidence,Number,45-49 years,2021,15204.687084466625,2119.5529787798823,617.3534814505642,13085.134105686742
Male,Incidence,Number,50-54 years,2021,17728.91406856165,2059.2110426404183,760.9566334603952,15669.703025921233
Male,Incidence,Number,55-59 years,2021,16954.545172916947,1920.046812276102,783.0276983100396,15034.498360640846
Male,Incidence,Number,60-64 years,2021,10172.696409486034,1555.9490588871686,553.7936670472783,8616.747350598866
Male,Incidence,Number,65-69 years,2021,7548.202735836939,940.8695430343898,702.2581655149871,6607.333192802549
Male,Incidence,Number,70+ years,2021,3701.9543313213953,555.3480434352858,566.6007695681709,3146.6062878861094
Male,Incidence,Number,15-19 years,2022,13339.283910475871,5716.8311407885285,133.33353009681463,7622.452769687343
Male,Incidence,Number,20-24 years,2022,20317.73462727636,9587.456904416147,111.91995781402326,10730.277722860214
Male,Incidence,Number,25-29 years,2022,18951.203865684874,6867.147400648867,175.96908526958663,12084.056465036007
Male,Incidence,Number,30-34 years,2022,20058.92284918206,4611.496024524017,334.9764749336952,15447.426824658043
Male,Incidence,Number,35-39 years,2022,15621.667523836304,3274.534416676059,377.06530260548226,12347.133107160245
Male,Incidence,Number,40-44 years,2022,11534.722121796274,2494.108908798208,362.47868652032145,9040.613212998065
Male,Incidence,Number,45-49 years,2022,14355.04953061513,2094.530055784155,585.3589658917954,12260.519474830975
Male,Incidence,Number,50-54 years,2022,17617.31365271237,2041.3827577581928,763.0088397562133,15575.93089495418
Male,Incidence,Number,55-59 years,2022,17908.286898170376,1857.998018976993,863.8485464064495,16050.288879193384
Male,Incidence,Number,60-64 years,2022,10547.14836116245,1539.264980295665,585.2068029986971,9007.883380866784
Male,Incidence,Number,65-69 years,2022,7731.5067811808285,948.5986704128948,715.0450788440963,6782.908110767934
Male,Incidence,Number,70+ years,2022,3949.067976776552,556.2954295570892,609.8868275658344,3392.7725472194625
Male,Incidence,Number,15-19 years,2023,13822.783502534709,5813.185521734598,137.7832850999416,8009.59798080011
Male,Incidence,Number,20-24 years,2023,20018.21737045934,9512.430793453295,110.44271233212446,10505.786577006045
Male,Incidence,Number,25-29 years,2023,17969.407738300088,6512.379930092217,175.926895101245,11457.02780820787
Male,Incidence,Number,30-34 years,2023,18779.67140990326,4518.2997881045485,315.63579865472883,14261.371621798713
Male,Incidence,Number,35-39 years,2023,16710.846797804894,3340.403320844898,400.26434513237666,13370.443476959996
Male,Incidence,Number,40-44 years,2023,11855.493794553118,2638.5330153140385,349.3214117747955,9216.96077923908
