location_name,sex_name,measure_name,period_label,period_midpoint,reference_period,period_rr,period_rr_lower,period_rr_upper
China,Female,Incidence,2009-2013,2011.0,2004-2008,0.991302625862519,0.8965015370485635,1.0961285122578586
China,Female,Incidence,2014-2018,2016.0,2004-2008,0.9762756068993239,0.8826252271811412,1.0798626996767626
China,Female,Incidence,2019-2023,2021.0,2004-2008,0.9667430318845028,0.8733633999418969,1.0701067731478298
United States of America,Female,Incidence,1990-1993,1991.5,2004-2008,1.0404873381696418,0.7816256798369661,1.385079749576756
United States of America,Female,Incidence,1994-1998,1996.0,2004-2008,1.059362280879364,0.8093235742755457,1.3866498861774694
United States of America,Female,Incidence,1999-2003,2001.0,2004-2008,1.0272045380353412,0.7874499256044616,1.3399571561968793
United States of America,Female,Incidence,2004-2008,2006.0,2004-2008,0.9933363463760293,0.8032098156129224,1.228467428873144
United States of America,Female,Incidence,2009-2013,2011.0,2004-2008,0.9716720028916721,0.7487659560785089,1.2609367099811344
United States of America,Female,Incidence,2014-2018,2016.0,2004-2008,0.9410585730072795,0.7253593701005978,1.2208999763905681
United States of America,Female,Incidence,2019-2023,2021.0,2004-2008,0.9217214774946936,0.7098503176122135,1.1968304598817066
China,Female,Prevalence,1990-1993,1991.5,2004-2008,0.966306866124676,0.7555321284678189,1.2358825314461324
China,Female,Prevalence,1994-1998,1996.0,2004-2008,0.9677434943610758,0.7680860676012283,1.2193001674968642
China,Female,Prevalence,1999-2003,2001.0,2004-2008,0.9858858450909763,0.7852321844810398,1.2378133738788666
China,Female,Prevalence,2004-2008,2006.0,2004-2008,1.0136802689205737,0.8442612257285801,1.2170968608822867
China,Female,Prevalence,2009-2013,2011.0,2004-2008,1.031935807689507,0.8262393623896841,1.2888414177120195
China,Female,Prevalence,2014-2018,2016.0,2004-2008,1.0655867045463747,0.8525707257991685,1.331825021134347
China,Female,Prevalence,2019-2023,2021.0,2004-2008,1.084834577049515,0.8665577797591206,1.358093005511227
United States of America,Female,Prevalence,1990-1993,1991.5,2004-2008,1.0043911822129308,0.7834519687845448,1.2876368776916263
United States of America,Female,Prevalence,1994-1998,1996.0,2004-2008,0.9940253932937572,0.7867921541254815,1.2558418094688113
United States of America,Female,Prevalence,1999-2003,2001.0,2004-2008,0.9944595344907472,0.7894818527986465,1.2526567421832564
United States of America,Female,Prevalence,2004-2008,2006.0,2004-2008,0.9922640924785973,0.8250887432705863,1.1933116737474145
United States of America,Female,Prevalence,2009-2013,2011.0,2004-2008,0.99443484581552,0.7930386027579571,1.2469767034454928
