location_name,sex_name,measure_name,year,val,lower,upper,fitted,residual_log,model_knots
China,Female,DALYs,2011,177.62542830131346,131.61375554325724,221.78505251694148,177.53670614928473,0.0004996149379019599,1998
China,Female,DALYs,2012,177.6411087621761,130.02562459939185,223.9511542839936,177.58578124032442,0.000311505259630529,1998
China,Female,DALYs,2013,177.52659634986904,130.59265318922652,223.3807741602611,177.63486989680993,-0.0006097145134544846,1998
China,Female,DALYs,2014,177.54183549652976,130.95357649439907,223.32724366483427,177.68397212249084,-0.0008002607383703619,1998
China,Female,DALYs,2015,177.640520336365,130.31241071276523,224.65033802714376,177.73308792111828,-0.0005209592648185435,1998
China,Female,DALYs,2016,177.71747893127716,131.42224159813375,224.41717648001813,177.78221729644417,-0.0003642105271515206,1998
China,Female,DALYs,2017,177.82708530908045,131.33692027933884,225.0826688087533,177.83136025222103,-2.4039598632619175e-05,1998
China,Female,DALYs,2018,178.12676277047,131.86257973052764,224.42229810698663,177.880516792203,0.0013833763053394676,1998
China,Female,DALYs,2019,178.2023411338725,131.56044082178144,225.1006474391532,177.9296869201449,0.0015311976768206392,1998
China,Female,DALYs,2020,178.10295146317856,130.78610836507357,224.39973355577817,177.97887063980303,0.0006969231266280573,1998
China,Female,DALYs,2021,178.2173675206934,131.56685586571308,225.82308455176684,178.0280679549343,0.0010627481209581902,1998
China,Female,DALYs,2022,178.18347240095312,131.93640486328297,224.87460922887132,178.0772788692968,0.0005961562390623953,1998
China,Female,DALYs,2023,177.61177697861763,129.6486159303557,223.14257796807365,178.12650338664952,-0.0028938508766191973,1998
United States of America,Female,DALYs,1990,269.4807146176897,190.0374175951557,335.4177287828488,268.47290602279435,0.003746827738508429,"2010,2015"
United States of America,Female,DALYs,1991,268.90803854059664,189.9535643203384,333.09089904430624,268.504483106692,0.0015018463228981815,"2010,2015"
United States of America,Female,DALYs,1992,268.999897370078,190.9305830482139,332.6364939640097,268.536063904604,0.0017257769303240522,"2010,2015"
United States of America,Female,DALYs,1993,268.83597550712113,190.8152215948477,333.50039676795853,268.5676484169675,0.0009986055192285903,"2010,2015"
United States of America,Female,DALYs,1994,268.6273448028327,189.2929040705473,334.46905659025435,268.59923664421876,0.00010464172701141194,"2010,2015"
United States of America,Female,DALYs,1995,268.2076083139268,190.04869347044047,331.1372464511784,268.6308285867951,-0.0015767140780367228,"2010,2015"
United States of America,Female,DALYs,1996,268.1128317718701,189.17175241414844,332.1775587399952,268.66242424513337,-0.002047757079535195,"2010,2015"
United States of America,Female,DALYs,1997,268.09153583287986,190.1881394931616,330.7044490386924,268.6940236196707,-0.002244799731223601,"2010,2015"
